날짜,발전기명,용량_메가와트,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계,주소지
2023-06-07,(군산)영암F1태양광,13.296,0,0,0,0,0,48,883.2,1968,4195.2,6105.6,7564.8,8860.8,9561.6,8976,8428.8,7094.4,5846.4,2784,1180.8,96,0,0,0,0,73593.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-08,(군산)영암F1태양광,13.296,0,0,0,0,0,9.6,412.8,1286.4,3888,6153.6,6624,8035.2,10214.4,9024,8918.4,7603.2,5193.6,2822.4,1046.4,124.8,0,0,0,0,71356.8,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-09,(군산)영암F1태양광,13.296,0,0,0,0,0,0,28.8,652.8,2841.6,5452.8,8774.4,9590.4,9734.4,9494.4,8822.4,7200,5510.4,3148.8,1094.4,134.4,0,0,0,0,72480,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-10,(군산)영암F1태양광,13.296,0,0,0,0,0,0,643.2,1392,2582.4,2822.4,6729.6,9523.2,9984,10041.6,8764.8,4377.6,4694.4,2428.8,614.4,9.6,0,0,0,0,64608,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-11,(군산)영암F1태양광,13.296,0,0,0,0,0,0,643.2,2611.2,4464,4800,6643.2,5692.8,5980.8,8160,7776,6393.6,5606.4,3292.8,969.6,96,0,0,0,0,63129.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-12,(군산)영암F1태양광,13.296,0,0,0,0,0,0,134.4,950.4,2524.8,4588.8,7113.6,8256,7776,9811.2,9244.8,7833.6,5798.4,3273.6,1190.4,163.2,0,0,0,0,68659.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-13,(군산)영암F1태양광,13.296,0,0,0,0,0,28.8,585.6,2592,5001.6,6998.4,7948.8,7862.4,8966.4,8505.6,7315.2,7132.8,5846.4,3465.6,1248,249.6,0,0,0,0,73747.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-14,(군산)영암F1태양광,13.296,0,0,0,0,0,28.8,681.6,2006.4,4291.2,4502.4,8400,9532.8,9926.4,9868.8,9004.8,7468.8,5212.8,3216,1104,153.6,0,0,0,0,75398.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-15,(군산)영암F1태양광,13.296,0,0,0,0,0,38.4,758.4,2496,4771.2,6912,8534.4,9830.4,10291.2,9532.8,9408,7920,5942.4,3427.2,1036.8,115.2,0,0,0,0,81014.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-16,(군산)영암F1태양광,13.296,0,0,0,0,0,9.6,652.8,1939.2,4012.8,7219.2,8400,9350.4,9888,9062.4,8918.4,6614.4,5289.6,2880,1084.8,240,0,0,0,0,75561.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-17,(군산)영암F1태양광,13.296,0,0,0,0,0,28.8,691.2,2620.8,5270.4,6086.4,6652.8,5817.6,6412.8,9782.4,8265.6,7248,3254.4,2150.4,1142.4,96,0,0,0,0,65520,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-18,(군산)영암F1태양광,13.296,0,0,0,0,0,0,345.6,1622.4,3398.4,5222.4,5731.2,8947.2,8073.6,7670.4,7248,6710.4,5980.8,3763.2,1180.8,134.4,0,0,0,0,66028.8,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-19,(군산)영암F1태양광,13.296,0,0,0,0,0,28.8,748.8,2563.2,4339.2,6969.6,8313.6,9302.4,8870.4,8880,8371.2,5097.6,3561.6,2841.6,1152,230.4,0,0,0,0,71270.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-20,(군산)영암F1태양광,13.296,0,0,0,0,0,28.8,825.6,2630.4,5212.8,5750.4,4243.2,3600,1555.2,1180.8,1564.8,892.8,720,547.2,288,19.2,0,0,0,0,29059.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-21,(군산)영암F1태양광,13.296,0,0,0,0,0,0,19.2,192,950.4,508.8,1180.8,2572.8,2592,1545.6,2438.4,912,1497.6,2592,940.8,28.8,0,0,0,0,17971.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-22,(군산)영암F1태양광,13.296,0,0,0,0,0,0,460.8,1843.2,4348.8,7094.4,7440,9484.8,9360,10108.8,9206.4,8035.2,5865.6,3417.6,1152,201.6,0,0,0,0,78019.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-23,(군산)영암F1태양광,13.296,0,0,0,0,0,38.4,720,2208,3734.4,5875.2,8304,8956.8,7785.6,6604.8,7948.8,6854.4,4800,3446.4,1094.4,211.2,0,0,0,0,68582.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-24,(군산)영암F1태양광,13.296,0,0,0,0,0,0,259.2,1622.4,3868.8,5769.6,8246.4,8275.2,8726.4,9196.8,6134.4,5270.4,3033.6,1708.8,816,96,0,0,0,0,63024,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-25,(군산)영암F1태양광,13.296,0,0,0,0,0,0,220.8,700.8,1574.4,2937.6,3484.8,3744,2467.2,2486.4,2236.8,1747.2,1065.6,662.4,480,48,0,0,0,0,23856,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-26,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,124.8,403.2,412.8,489.6,585.6,998.4,1324.8,1756.8,1392,345.6,297.6,249.6,0,0,0,0,0,8380.8,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-27,(군산)영암F1태양광,13.296,0,0,0,0,0,0,19.2,499.2,672,1056,3571.2,6144,5040,7324.8,4752,7113.6,2572.8,777.6,57.6,0,0,0,0,0,39600,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-28,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,124.8,585.6,854.4,1190.4,1286.4,1344,1228.8,873.6,892.8,633.6,355.2,48,0,0,0,0,9417.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-29,(군산)영암F1태양광,13.296,0,0,0,0,0,0,28.8,201.6,528,892.8,1094.4,576,1190.4,1411.2,844.8,700.8,739.2,1324.8,441.6,9.6,0,0,0,0,9984,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-30,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,230.4,883.2,2428.8,1612.8,1430.4,2332.8,2592,2016,1747.2,748.8,1123.2,432,38.4,0,0,0,0,17616,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-01,(군산)영암F1태양광,13.296,0,0,0,0,0,0,451.2,480,1689.6,2121.6,2764.8,5174.4,4713.6,6115.2,5164.8,6345.6,2553.6,1612.8,700.8,144,0,0,0,0,40032,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-02,(군산)영암F1태양광,13.296,0,0,0,0,0,0,556.8,1305.6,2294.4,4156.8,4137.6,4953.6,7756.8,5001.6,6460.8,2870.4,5078.4,2707.2,1142.4,288,0,0,0,0,48710.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-03,(군산)영암F1태양광,13.296,0,0,0,0,0,0,182.4,892.8,2217.6,3753.6,6729.6,6652.8,2006.4,1660.8,2582.4,1516.8,873.6,556.8,528,86.4,0,0,0,0,30240,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-04,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,451.2,1507.2,940.8,2179.2,1497.6,2448,3792,3340.8,2102.4,2448,1420.8,547.2,134.4,0,0,0,0,22809.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-05,(군산)영암F1태양광,13.296,0,0,0,0,0,0,153.6,739.2,2764.8,4464,7411.2,8169.6,10166.4,9984,9014.4,7891.2,5865.6,3417.6,1180.8,172.8,0,0,0,0,71395.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-06,(군산)영암F1태양광,13.296,0,0,0,0,0,0,537.6,1584,2822.4,5241.6,7564.8,8812.8,9331.2,8889.6,8928,7612.8,6086.4,3273.6,1257.6,124.8,0,0,0,0,72067.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-07,(군산)영암F1태양광,13.296,0,0,0,0,0,0,19.2,172.8,297.6,230.4,1161.6,211.2,48,556.8,912,432,1286.4,2534.4,892.8,0,0,0,0,0,8755.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-08,(군산)영암F1태양광,13.296,0,0,0,0,0,0,38.4,633.6,1459.2,1228.8,2044.8,3657.6,6153.6,8054.4,3196.8,2457.6,2592,2092.8,950.4,230.4,0,0,0,0,34790.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-09,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,211.2,1065.6,2438.4,2582.4,3494.4,4195.2,4972.8,4032,3033.6,2668.8,2486.4,499.2,86.4,0,0,0,0,31766.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-10,(군산)영암F1태양광,13.296,0,0,0,0,0,0,19.2,1113.6,2678.4,5404.8,7382.4,3648,9244.8,8822.4,7238.4,6355.2,4041.6,1536,777.6,48,0,0,0,0,58310.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-11,(군산)영암F1태양광,13.296,0,0,0,0,0,0,9.6,9.6,1180.8,2380.8,2294.4,720,739.2,969.6,576,614.4,355.2,57.6,0,0,0,0,0,0,9907.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-12,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,144,537.6,1315.2,1804.8,4867.2,1852.8,1545.6,1728,3043.2,1612.8,873.6,470.4,0,0,0,0,0,19795.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-13,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,316.8,864,1651.2,1488,1440,1651.2,1392,710.4,432,403.2,76.8,0,0,0,0,0,0,10425.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-14,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,0,422.4,1180.8,1766.4,1516.8,3331.2,3686.4,4262.4,1651.2,508.8,249.6,134.4,0,0,0,0,18710.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-15,(군산)영암F1태양광,13.296,0,0,0,0,0,0,9.6,9.6,105.6,720,364.8,537.6,1065.6,1286.4,1680,1046.4,355.2,0,0,0,0,0,0,0,7180.8,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-16,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,0,393.6,614.4,1459.2,2275.2,2572.8,2803.2,4329.6,3120,1555.2,249.6,28.8,0,0,0,0,19401.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-17,(군산)영암F1태양광,13.296,0,0,0,0,0,0,355.2,748.8,1276.8,2553.6,3244.8,5001.6,4435.2,5174.4,5126.4,3830.4,1200,1257.6,633.6,153.6,0,0,0,0,34992,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-07-18,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,259.2,1171.2,710.4,278.4,1065.6,604.8,1526.4,1305.6,278.4,566.4,844.8,844.8,153.6,0,0,0,0,9609.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
