날짜,시간,발전기명,설비용량(MW),해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-01-06,15시,(군산)삼랑진태양광,3.0,1590.924,6639.84
2023-01-06,16시,(군산)삼랑진태양광,3.0,872.9159999999999,6639.84
2023-01-06,17시,(군산)삼랑진태양광,3.0,273.048,6639.84
2023-01-06,18시,(군산)삼랑진태양광,3.0,1.8719999999999999,6639.84
2023-01-06,19시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,20시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,21시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,22시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,23시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,24시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-07,01시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,02시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,03시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,04시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,05시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,06시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,07시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,08시,(군산)삼랑진태양광,3.0,1.584,5293.44
2023-01-07,09시,(군산)삼랑진태양광,3.0,169.548,5293.44
2023-01-07,10시,(군산)삼랑진태양광,3.0,516.84,5293.44
2023-01-07,11시,(군산)삼랑진태양광,3.0,870.408,5293.44
2023-01-07,12시,(군산)삼랑진태양광,3.0,1170.084,5293.44
2023-01-07,13시,(군산)삼랑진태양광,3.0,1357.248,5293.44
2023-01-07,14시,(군산)삼랑진태양광,3.0,1567.308,5293.44
2023-01-07,15시,(군산)삼랑진태양광,3.0,1455.468,5293.44
2023-01-07,16시,(군산)삼랑진태양광,3.0,811.752,5293.44
2023-01-07,17시,(군산)삼랑진태양광,3.0,242.904,5293.44
2023-01-07,18시,(군산)삼랑진태양광,3.0,2.7119999999999997,5293.44
2023-01-07,19시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,20시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,21시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,22시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,23시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-07,24시,(군산)삼랑진태양광,3.0,0.0,5293.44
2023-01-08,01시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,02시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,03시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,04시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,05시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,06시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,07시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,08시,(군산)삼랑진태양광,3.0,0.096,7529.76
2023-01-08,09시,(군산)삼랑진태양광,3.0,260.38800000000003,7529.76
2023-01-08,10시,(군산)삼랑진태양광,3.0,931.3800000000001,7529.76
2023-01-08,11시,(군산)삼랑진태양광,3.0,1646.4959999999999,7529.76
2023-01-08,12시,(군산)삼랑진태양광,3.0,1979.4479999999999,7529.76
2023-01-08,13시,(군산)삼랑진태양광,3.0,2076.588,7529.76
2023-01-08,14시,(군산)삼랑진태양광,3.0,1962.3719999999998,7529.76
2023-01-08,15시,(군산)삼랑진태양광,3.0,1613.76,7529.76
2023-01-08,16시,(군산)삼랑진태양광,3.0,925.0920000000001,7529.76
2023-01-08,17시,(군산)삼랑진태양광,3.0,264.708,7529.76
2023-01-08,18시,(군산)삼랑진태양광,3.0,3.096,7529.76
2023-01-08,19시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,20시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,21시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,22시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,23시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-08,24시,(군산)삼랑진태양광,3.0,0.0,7529.76
2023-01-09,01시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,02시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,03시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,04시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,05시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,06시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,07시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,08시,(군산)삼랑진태양광,3.0,1.8599999999999999,5359.14
2023-01-09,09시,(군산)삼랑진태양광,3.0,207.072,5359.14
2023-01-09,10시,(군산)삼랑진태양광,3.0,738.4680000000001,5359.14
2023-01-09,11시,(군산)삼랑진태양광,3.0,1281.192,5359.14
2023-01-09,12시,(군산)삼랑진태양광,3.0,915.768,5359.14
2023-01-09,13시,(군산)삼랑진태양광,3.0,1578.024,5359.14
2023-01-09,14시,(군산)삼랑진태양광,3.0,1545.096,5359.14
2023-01-09,15시,(군산)삼랑진태양광,3.0,1200.984,5359.14
2023-01-09,16시,(군산)삼랑진태양광,3.0,615.96,5359.14
2023-01-09,17시,(군산)삼랑진태양광,3.0,208.308,5359.14
