날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-07-01,(군산)영암F1태양광,13.296,01시,0.0,40032.0
2023-07-02,(군산)영암F1태양광,13.296,01시,0.0,48710.4
2023-07-03,(군산)영암F1태양광,13.296,01시,0.0,30240.0
2023-07-04,(군산)영암F1태양광,13.296,01시,0.0,22809.6
2023-07-05,(군산)영암F1태양광,13.296,01시,0.0,71395.2
2023-07-06,(군산)영암F1태양광,13.296,01시,0.0,72067.2
2023-07-07,(군산)영암F1태양광,13.296,01시,0.0,8755.2
2023-07-08,(군산)영암F1태양광,13.296,01시,0.0,34790.4
2023-07-09,(군산)영암F1태양광,13.296,01시,0.0,31766.4
2023-07-10,(군산)영암F1태양광,13.296,01시,0.0,58310.4
2023-07-11,(군산)영암F1태양광,13.296,01시,0.0,9907.2
2023-07-12,(군산)영암F1태양광,13.296,01시,0.0,19795.2
2023-07-13,(군산)영암F1태양광,13.296,01시,0.0,10425.6
2023-07-14,(군산)영암F1태양광,13.296,01시,0.0,18710.4
2023-07-15,(군산)영암F1태양광,13.296,01시,0.0,7180.8
2023-07-16,(군산)영암F1태양광,13.296,01시,0.0,19401.6
2023-07-17,(군산)영암F1태양광,13.296,01시,0.0,34992.0
2023-07-18,(군산)영암F1태양광,13.296,01시,0.0,9609.6
2023-07-19,(군산)영암F1태양광,13.296,01시,0.0,45964.8
2023-07-20,(군산)영암F1태양광,13.296,01시,0.0,44745.6
2023-07-21,(군산)영암F1태양광,13.296,01시,0.0,54787.2
2023-07-22,(군산)영암F1태양광,13.296,01시,0.0,5750.4
2023-07-23,(군산)영암F1태양광,13.296,01시,0.0,13910.4
2023-07-24,(군산)영암F1태양광,13.296,01시,0.0,21859.2
2023-07-25,(군산)영암F1태양광,13.296,01시,0.0,52694.4
2023-07-26,(군산)영암F1태양광,13.296,01시,0.0,44361.6
2023-07-27,(군산)영암F1태양광,13.296,01시,0.0,62246.4
2023-07-28,(군산)영암F1태양광,13.296,01시,0.0,51753.6
2023-07-29,(군산)영암F1태양광,13.296,01시,0.0,45859.2
2023-07-30,(군산)영암F1태양광,13.296,01시,0.0,63456.0
2023-07-31,(군산)영암F1태양광,13.296,01시,0.0,56428.8
