년월일,단계,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-03-21,1,38158,1590,4452,0,4452,50,4452,4356,4199,4053,3622,2237,1512,1689,2452,1489,1192,1232,1622,1682,1133,832,354,50,0,0,0,0,0,0
2013-03-22,1,40795,1700,5652,0,5652,10,0,50,621,1253,1722,1756,1781,978,582,0,80,0,0,10,12,368,2752,3989,3629,3462,3382,3684,5032,5652
2013-03-23,1,38317,1597,5132,0,5132,10,5132,4506,4865,3699,3766,3682,2534,1982,1933,1352,1099,921,750,399,62,10,0,0,10,299,557,332,365,62
2013-03-24,1,87347,3639,7953,212,7953,212,212,275,1462,852,644,843,598,936,1121,3189,7953,4729,3288,3671,5277,5738,5586,5462,5899,5879,5862,5932,5977,5962
2013-03-25,1,138836,5785,5999,4657,5999,4657,5999,5982,5993,5992,5998,5996,5994,5992,5998,5993,5982,4982,5653,5872,5932,5983,5988,5652,5884,5792,5236,4657,5532,5754
2013-03-26,1,21286,887,4736,0,4736,10,4288,4562,4736,3529,1752,1182,795,372,50,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2013-03-27,1,5355,223,912,0,912,10,0,0,0,0,0,142,286,572,80,0,20,299,592,912,888,836,324,199,10,98,87,10,0,0
2013-03-28,1,31236,1302,3694,0,3694,50,0,0,0,50,86,499,1352,799,983,1108,782,559,998,1982,2493,1052,1152,482,1098,3694,2199,2852,3462,3554
2013-03-29,1,97193,4050,5698,2222,5698,2222,3224,4486,4062,4389,3788,3952,3824,4652,5698,5644,4882,3452,3299,3233,3977,3924,4166,3912,3958,4966,4542,3855,3086,2222
2013-03-30,1,12552,523,2685,0,2685,36,1952,833,1232,552,1144,790,312,0,52,0,252,499,36,0,0,0,0,0,86,1054,2685,962,111,0
2013-03-31,1,70663,2944,4855,0,4855,50,0,1452,1795,4182,4052,4352,4855,4212,4288,4536,3833,3678,4052,4263,4685,4439,3299,2252,2182,1988,1544,299,375,50
2013-04-01,1,23182,966,4061,0,4061,13,13,0,0,0,0,902,784,0,2662,2163,238,333,2473,4061,2659,1119,1187,815,1148,843,731,633,250,168
2013-04-02,1,103848,4327,5769,0,5769,55,442,55,0,1996,2917,2354,3622,4904,5355,5518,5180,5434,5707,5767,5766,5769,5767,5769,5764,5766,5746,5715,4338,4197
2013-04-03,1,44630,1860,3414,522,3414,522,3414,3276,3140,2407,1880,1493,2358,3225,3121,2130,2142,1506,1721,1434,1769,1857,1051,995,871,1023,1518,1100,677,522
2013-04-04,1,16810,700,2783,0,2783,11,213,353,221,204,323,313,100,693,554,278,1560,2169,914,381,452,2140,1855,180,0,258,688,2783,167,11
2013-04-05,1,33730,1405,3847,0,3847,76,0,90,0,0,0,76,141,0,0,80,728,1340,1852,2755,2762,2985,3391,3847,2782,2025,3227,2489,2136,1024
2013-04-06,1,86364,3599,6003,0,6003,500,3578,5871,5477,5904,5717,5984,4651,4474,4481,4476,5592,5485,6003,4583,4592,4498,4498,500,0,0,0,0,0,0
2013-04-07,1,61919,2580,6001,0,6001,1010,0,0,0,0,0,0,0,0,0,3510,6001,4688,5162,4738,5270,5504,5101,5885,5775,3128,2518,2024,1605,1010
2013-04-08,1,6732,281,834,0,834,1,539,450,79,80,395,136,6,1,4,0,0,0,185,282,349,436,208,353,407,620,356,263,749,834
2013-04-09,1,75609,3150,6034,249,6034,249,1009,1217,1163,1187,3481,2405,693,249,3063,3492,2205,1490,643,2065,4272,4912,5252,5093,4152,4602,5211,5783,6034,5936
2013-04-10,1,52355,2181,5500,50,5500,50,5500,5142,3648,2837,2574,2110,1787,1531,1536,3005,3777,3201,3753,2829,2017,1031,1008,529,50,93,546,1129,1210,1512
2013-04-11,1,42921,1788,4530,168,4530,168,1758,1725,1164,1978,3603,4530,2380,1080,1093,1354,1619,1997,2371,2366,2050,2681,2986,2486,1141,827,748,530,286,168
2013-04-12,1,36084,1504,3429,0,3429,29,41,29,423,1001,1447,1602,1559,1276,2017,1816,658,764,679,2244,3429,3084,2500,2370,2827,2886,2618,814,0,0
2013-04-13,1,60487,2520,5223,0,5223,183,0,0,0,0,0,0,183,492,783,1905,2310,3481,3749,3945,4604,5205,5223,5077,4478,4284,4233,4079,3569,2887
2013-04-14,1,72970,3040,6030,1575,6030,1575,2318,2024,2088,2119,1644,1575,1891,1868,3194,3161,3471,3050,2418,2773,2416,5099,6030,5334,4879,3377,3486,2871,2789,3095
2013-04-15,1,57961,2415,4900,0,4900,43,2424,1685,1577,1082,270,94,106,43,0,0,239,1260,2535,3060,3943,4631,3603,3629,4295,4476,4774,4778,4557,4900
2013-04-16,1,101868,4245,5878,2238,5878,2238,4985,4661,4187,3996,5878,5559,4039,3378,3228,2677,3187,3819,4615,4830,4532,4722,4641,4013,4824,5000,5095,3650,4114,2238
2013-04-17,1,3128,130,791,0,791,3,750,791,187,50,0,0,0,33,409,345,0,0,3,35,376,57,0,0,0,0,0,0,55,37
2013-04-18,1,45120,1880,4500,0,4500,104,0,104,119,0,0,0,0,0,0,344,504,133,617,2191,3746,4189,3323,3623,4039,4480,4344,4387,4477,4500
2013-04-19,1,44569,1857,4501,0,4501,251,4481,4501,4473,4244,3689,1883,1386,1317,1043,632,1321,3185,2509,1817,2893,2255,1582,451,656,251,0,0,0,0
2013-04-20,1,39650,1652,3890,0,3890,119,0,0,0,0,588,994,1788,1163,498,489,119,1484,2876,1707,1341,1630,2776,2755,3712,3890,3885,2546,2899,2510
2013-04-21,1,69344,2889,4211,1104,4211,1104,2516,2496,2472,2462,2841,2883,2896,2888,2721,2651,1911,1762,1227,2515,2919,3798,4097,4074,4211,3974,4210,4094,2622,1104
2013-04-22,1,15082,628,1713,0,1713,53,1713,1292,1366,971,885,608,419,843,548,391,1136,1713,763,283,185,101,0,334,607,333,157,53,172,209
2013-04-23,1,51369,2140,4371,311,4371,311,478,901,1016,1540,1315,1338,1089,1943,2076,3061,4287,4371,4215,3803,4037,4029,3373,2570,2495,1294,488,355,311,984
2013-04-24,1,48035,2001,4200,244,4200,244,1128,1184,1753,1991,1995,2367,1640,2560,4015,4200,3389,3875,3097,2057,1062,951,1258,1299,2122,3186,1351,709,602,244
2013-04-25,1,16509,688,2366,0,2366,13,375,768,1066,546,208,183,30,13,28,0,17,0,0,20,189,473,752,1125,2366,1214,1095,2001,1717,2323
2013-04-26,1,60117,2505,4475,0,4475,215,2647,3114,2819,2389,2068,1909,1825,1462,1713,1957,4124,4336,2757,3270,3041,3563,4155,4475,4228,3162,888,215,0,0
2013-04-27,1,19852,827,3326,0,3326,7,0,0,0,0,0,0,0,0,0,7,194,461,867,1426,1463,1510,1986,2004,713,472,957,2011,2455,3326
2013-04-28,1,95229,3968,5604,2681,5604,2681,3474,3260,3305,3074,3127,3018,2691,2867,2681,3896,4911,4699,5225,5604,4781,4626,3256,4263,3805,3951,4289,5033,4937,4456
2013-04-29,1,57603,2400,4842,0,4842,10,4575,4832,4671,4594,4842,4017,2716,2247,2717,2491,3567,4461,2560,2524,1320,516,195,10,0,0,0,1102,1855,1791
2013-04-30,1,22978,957,3199,0,3199,45,3195,3004,1745,909,822,608,1200,205,0,0,45,275,784,219,0,47,744,552,365,587,1404,1157,1912,3199
2013-05-01,1,38816,1617,4038,0,4038,85,3199,3209,3972,4038,3550,2919,3047,3151,2206,1351,797,800,1686,1398,573,1040,968,333,0,85,185,309,0,0
2013-05-02,1,4654,194,896,0,896,1,0,0,0,0,0,0,0,0,0,0,185,420,600,875,896,511,620,546,1,0,0,0,0,0
2013-05-03,1,4194,175,934,0,934,3,0,0,59,0,0,0,0,0,0,0,38,149,356,381,111,153,0,3,27,483,934,862,579,59
2013-05-04,1,20421,851,1719,0,1719,116,0,0,0,189,366,116,259,564,1333,1719,1324,1439,1433,1506,1115,619,1118,1554,856,809,1074,976,1061,991
2013-05-05,1,2983,124,652,0,652,1,652,440,117,338,387,439,263,50,89,137,11,39,1,0,0,20,0,0,0,0,0,0,0,0
2013-05-06,1,6123,255,1113,0,1113,50,0,0,0,0,0,0,93,0,64,342,488,296,295,50,0,65,290,193,188,425,700,745,776,1113
2013-05-07,1,9339,389,1713,0,1713,60,1529,1591,988,1713,1322,1238,592,0,0,0,0,0,0,94,70,142,60,0,0,0,0,0,0,0
2013-05-08,1,5390,225,1405,0,1405,12,0,0,0,0,0,0,0,0,0,0,0,148,486,332,528,959,100,0,0,0,12,507,913,1405
2013-05-09,1,61093,2546,5273,548,5273,548,1325,843,623,548,892,1061,982,822,1227,1701,2176,2665,3065,4681,5183,5273,4129,3596,3759,2932,3071,3656,3071,3812
2013-05-10,1,34428,1435,3572,264,3572,264,3572,3120,3113,1622,1291,1245,694,1120,1985,702,996,1475,551,396,673,841,1423,1745,2152,1689,1580,1473,706,264
2013-05-11,1,403,17,216,0,216,3,0,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,153,216
2013-05-12,1,22201,925,1754,58,1754,58,58,359,618,877,469,675,726,454,810,958,1074,1177,1507,1754,1522,1360,1350,1058,640,1021,948,832,895,1059
2013-05-13,1,11249,469,1176,0,1176,3,898,976,820,512,515,959,863,55,48,258,356,347,235,234,363,100,0,3,23,355,455,808,890,1176
2013-05-14,1,30557,1273,2214,662,2214,662,1360,1185,1470,952,662,1087,1068,890,1702,2214,1480,1347,1447,1167,1175,1243,1321,1068,1292,1188,1168,1479,1476,1116
2013-05-15,1,2816,117,713,0,713,1,713,439,314,32,0,0,0,0,41,0,11,697,292,75,185,6,1,0,10,0,0,0,0,0
2013-05-16,1,11596,483,2666,0,2666,9,0,63,432,103,9,0,0,0,0,12,106,499,1058,2521,2666,2057,639,559,345,95,12,0,84,336
