년월일,단계,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-04-03,1,111664,4653,10554,508,10554,508,10554,9618,9773,9317,9376,9528,8533,6875,8592,6237,1962,2578,1333,721,561,1013,1190,1352,1755,1276,508,2047,4518,2447
2013-04-04,1,23855,994,3798,0,3798,6,350,195,1484,1580,1289,1284,3798,2832,1467,772,228,2291,1616,1278,6,345,154,110,0,256,765,453,952,350
2013-04-05,1,39883,1662,3787,597,3787,597,597,1224,1557,1481,1113,1240,936,646,1216,1138,1512,1522,1340,1590,2353,2432,1949,1986,1898,2024,2085,2240,2017,3787
2013-04-06,1,139386,5808,11413,0,11413,3959,6328,5347,4462,4529,7255,8502,9926,8533,8516,9962,9183,10829,11413,10818,9993,9831,3959,0,0,0,0,0,0,0
2013-04-07,1,160829,6701,11825,0,11825,4600,0,0,0,0,0,0,0,0,0,4600,11531,11662,11825,11757,11769,11664,11547,11454,11535,10368,9919,10739,10798,9661
2013-04-08,1,76862,3203,11326,0,11326,32,10579,10236,11326,4098,3516,8159,7427,5326,2548,782,38,913,389,766,320,73,0,0,0,32,891,2930,3380,3133
2013-04-09,1,110214,4592,9474,24,9474,24,2757,849,1312,4983,4075,3162,226,24,1960,4400,4348,4146,4068,6466,7631,8316,9474,8590,6700,5784,6329,4930,5436,4248
2013-04-10,1,84336,3514,10019,146,10019,146,3584,3650,2929,3340,1761,1127,342,1072,3137,5256,10019,8672,8698,7289,6340,5046,4418,2796,919,206,267,146,671,2651
2013-04-11,1,87022,3626,7404,452,7404,452,4210,4809,4804,5115,3608,1783,452,758,2711,5219,3611,3606,5804,5393,5153,7404,6884,6018,2748,1479,1084,1388,1831,1150
2013-04-12,1,97582,4066,11729,512,11729,512,1161,551,512,1398,1759,1817,1406,2492,3372,4701,4382,5690,7013,9774,8920,8898,11729,5273,3614,2139,3473,4013,2207,1288
2013-04-13,1,144407,6017,11058,896,11058,896,1223,1856,2170,896,1040,2110,4551,5131,3856,4967,5578,5900,6659,7680,8860,9794,11025,10356,10224,11058,10089,10158,6025,3201
2013-04-14,1,200427,8351,11541,3612,11541,3612,4301,7773,11541,11184,10962,10961,10765,10741,10688,10083,10236,9314,3612,5217,9229,8411,9197,7911,8738,4853,4306,6495,6608,7301
2013-04-15,1,128548,5356,10616,0,10616,184,6713,5277,5131,4527,2835,562,184,0,298,1433,2828,3508,3981,6001,6822,7660,7936,7412,9399,10616,10463,9005,8865,7092
2013-04-16,1,188962,7873,11328,1937,11328,1937,8235,9563,5419,4759,7264,4961,8071,10421,11280,10220,9081,8856,9436,7856,8227,7994,3500,1937,3458,10452,11328,8832,8982,8830
2013-04-17,1,24291,1012,4878,0,4878,58,4878,1265,1152,724,0,0,0,0,58,0,0,131,377,0,126,1458,1790,1609,2362,2175,1817,1397,1629,1343
2013-04-18,1,82174,3424,9915,0,9915,68,1247,835,154,116,0,0,0,112,0,0,68,464,2229,3915,6061,6639,7035,8408,7294,9915,6710,5155,7123,8694
2013-04-19,1,102160,4257,11840,208,11840,208,11644,11840,10583,6828,5355,2201,5538,5504,5294,5708,5542,4706,4839,4044,3519,3132,1606,1164,853,272,267,208,793,720
2013-04-20,1,49372,2057,4629,764,4629,764,852,764,1150,1113,2121,2205,2974,3028,1475,2127,2376,3135,4629,1412,1123,1825,1884,1492,1205,928,1904,2619,3084,3947
2013-04-21,1,176577,7357,11994,3426,11994,3426,7006,11604,11994,11964,9748,7173,7562,6707,6735,5523,5532,4667,6297,7383,8034,10037,11134,9957,6526,5933,4074,3985,3426,3576
2013-04-22,1,40922,1705,8125,0,8125,2,6248,8125,5012,4830,3498,1507,848,619,288,0,2,39,177,240,437,783,1093,1069,753,964,847,869,1110,1564
2013-04-23,1,134826,5618,11371,0,11371,310,1049,1299,1008,1624,1664,310,443,436,2350,9634,11371,10658,10319,10807,10453,10578,10678,10856,9720,9955,6849,2765,0,0
2013-04-24,1,158097,6587,11948,0,11948,14,14,0,823,7645,7140,11948,10318,11650,9511,8968,8467,6607,10254,8723,7036,3692,2316,2963,5080,4882,6359,7060,6921,9720
2013-04-25,1,68302,2846,7742,40,7742,40,5891,6976,7742,6502,5695,1636,700,1234,1989,762,608,275,202,40,145,4628,1755,2261,2309,1813,3996,4582,3435,3126
2013-04-26,1,107057,4461,10593,890,10593,890,3617,1766,1569,1082,1320,982,890,2209,5802,7812,9199,9159,10593,9462,8398,8313,8118,5572,3039,2153,1168,1700,1678,1456
2013-04-27,1,56504,2354,7151,0,7151,60,1866,2266,2817,1964,1967,1893,1326,230,0,0,60,225,96,685,2689,4168,7151,6738,4067,3661,2449,1294,2629,6263
2013-04-28,1,189742,7906,11499,3582,11499,3582,6673,7859,8988,8970,8587,8081,7997,9112,9420,8814,8078,8947,10077,9694,9313,7932,6353,3993,3582,5182,6656,7840,11499,6095
2013-04-29,1,135133,5631,10852,0,10852,54,2162,3013,10852,7997,9049,8038,7259,4572,4550,7024,9634,7931,9311,9390,7497,3693,4656,2620,2272,0,54,1364,5976,6219
2013-04-30,1,59871,2495,7699,0,7699,20,4837,3224,2571,1642,1526,1604,586,0,0,0,0,0,0,20,0,0,2393,5416,5294,5306,7699,7136,5163,5454
2013-05-01,1,67439,2810,9109,0,9109,191,7188,7998,7431,9109,6904,5367,4574,3526,3573,2880,625,862,2063,1909,849,451,414,191,0,0,0,254,945,326
2013-05-02,1,30199,1258,4464,0,4464,12,156,0,0,0,0,0,332,204,12,0,0,355,1271,1941,2510,1730,1876,2576,3739,4464,2988,2511,1903,1631
2013-05-03,1,38831,1618,6294,0,6294,24,1538,1537,1631,1345,483,2080,2837,2489,1260,813,570,548,1147,445,221,24,0,0,0,1598,5001,6294,4919,2051
2013-05-04,1,48143,2006,4689,102,4689,102,461,602,1001,1195,1614,478,102,767,2771,3441,3172,3540,3653,2475,1268,782,440,743,1054,2058,4689,4275,2987,4575
2013-05-05,1,29718,1238,4432,0,4432,12,4432,3955,4267,2367,1474,1480,1543,1157,353,12,0,18,0,24,48,452,43,26,693,1785,1372,1401,1693,1123
