일자,발전기명,설비용량(MW),위치,방식,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-04-22,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,8160,70080,185280,199200,173280,218400,122400,115680,146400,99360,47520,24960,3840,0,0,0,0,0
2021-04-23,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,14400,53280,98400,232320,439680,455040,421440,421440,330240,355200,220800,71520,11520,0,0,0,0,0
2021-04-24,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,35520,114720,285600,412800,476640,511680,513600,492000,444000,364320,251520,111360,12960,0,0,0,0,0
2021-04-25,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,40320,152640,284640,391200,468000,503520,500640,400800,365760,325920,200640,55680,6720,0,0,0,0,0
2021-04-26,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,47040,169440,297600,401760,452640,513600,540480,482880,415680,360480,259680,117120,22080,0,0,0,0,0
2021-04-27,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,25920,94560,156000,205440,134880,211200,206880,275520,190080,226560,137280,61440,17760,0,0,0,0,0
2021-04-28,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,480,42240,142080,257760,376800,445920,480960,481440,448320,369120,260160,226080,80640,13920,0,0,0,0,0
2021-04-29,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,17280,54240,231360,355200,400320,467520,514080,405600,370560,324000,234240,106080,24480,0,0,0,0,0
2021-04-30,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,44640,163680,293280,411840,513600,555360,556320,545760,470880,348480,263040,130560,21600,0,0,0,0,0
2021-05-01,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,8160,42240,117120,144000,240480,169920,401760,461760,356160,207840,195360,81120,24960,0,0,0,0,0
2021-05-02,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,480,37920,81600,277440,415200,532320,564000,556800,561600,497760,408000,139200,156960,30720,0,0,0,0,0
2021-05-03,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,1440,54240,186240,320640,422400,493920,536160,545280,528480,475200,388800,255360,92160,24480,0,0,0,0,0
2021-05-04,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,5760,28800,57600,56640,95520,71520,104640,47520,31680,22080,27840,1440,0,0,0,0,0,0
2021-05-05,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,480,39360,182880,307680,433920,499680,545280,561120,542880,491040,399840,282720,142560,26880,480,0,0,0,0
2021-05-06,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,2400,61440,193440,325440,416160,467040,419520,347040,313920,251520,167520,106560,54240,11520,0,0,0,0,0
2021-05-07,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,22560,60960,198240,350880,391200,503520,525600,444960,313440,85920,201120,115680,33120,0,0,0,0,0
2021-05-08,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,1920,62880,183360,323040,420960,482400,484320,544800,435360,456960,351360,243840,125280,31680,0,0,0,0,0
2021-05-09,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,2400,62400,189600,322080,420000,483360,525120,538080,516480,457920,377760,265920,132000,33600,480,0,0,0,0
2021-05-10,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,8160,25440,182400,300480,353280,387840,348960,282240,185760,164160,126240,70080,15840,0,0,0,0,0
2021-05-11,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,17760,49920,87840,153120,189120,185760,235200,208800,150240,125760,107520,50880,11520,0,0,0,0,0
2021-05-12,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,36480,103200,171840,394080,486720,549120,466080,533280,287040,146880,156000,129120,32160,480,0,0,0,0
2021-05-13,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,3360,63360,185280,309120,400320,475680,519840,518400,494400,423840,367680,257760,128160,29280,960,0,0,0,0
2021-05-14,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,3360,50880,140640,274560,312000,395040,415200,425760,446880,336960,215520,125280,104640,27840,0,0,0,0,0
2021-05-15,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,2400,40800,95040,106560,117600,86880,64320,63360,120000,128160,62400,10560,0,0,0,0,0
2021-05-16,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,1440,10560,27840,30720,12960,62400,84000,118560,29280,35520,21120,7200,0,0,0,0,0,0
2021-05-17,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,15840,27840,76800,60960,230880,359520,228000,144960,181920,136320,59520,47520,20640,480,0,0,0,0
2021-05-18,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,480,14400,26880,61440,165120,373440,547200,461760,453600,442560,362400,184800,92640,28320,2400,0,0,0,0
2021-05-19,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,1920,68160,197760,324960,418080,484800,490080,503040,462720,364320,290400,188160,104640,36000,1440,0,0,0,0
2021-05-20,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,17760,30720,54240,74400,135360,148320,124800,89280,73440,50400,20640,2400,0,0,0,0,0
