일자,발전구분,설비용량(MW),시간,발전량(kWh),연식(년)
2023-07-03,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-04,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-05,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-06,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-07,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-08,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-09,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-10,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-11,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-12,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-13,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-14,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-15,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-16,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-17,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-18,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-19,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-20,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-21,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-22,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-23,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-24,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-25,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-26,(군산)영암F1태양광,13.296,1,0.0,10.6
2023-07-27,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-07-28,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-07-29,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-07-30,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-07-31,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-01,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-02,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-03,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-04,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-05,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-06,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-07,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-08,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-09,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-10,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-11,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-12,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-13,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-14,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-15,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-16,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-17,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-18,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-19,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-20,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-21,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-22,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-23,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-24,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-25,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-26,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-27,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-28,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-29,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-30,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-08-31,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-09-01,(군산)영암F1태양광,13.296,1,0.0,10.7
2023-09-02,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-03,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-04,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-05,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-06,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-07,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-08,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-09,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-10,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-11,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-12,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-13,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-14,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-15,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-16,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-17,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-18,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-19,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-20,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-21,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-22,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-23,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-24,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-25,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-26,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-27,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-28,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-29,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-09-30,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-10-01,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-10-02,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-10-03,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-10-04,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-10-05,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-10-06,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-10-07,(군산)영암F1태양광,13.296,1,0.0,10.8
2023-10-08,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-09,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-10,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-11,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-12,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-13,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-14,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-15,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-16,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-17,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-18,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-19,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-20,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-21,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-22,(군산)영암F1태양광,13.296,1,0.0,10.9
