날짜,설비용량(MW),경도,위도,발전기명,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계
2022-04-18,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,12480,64320,179520,217920,364800,504000,698880,706560,683520,593280,413760,198720,27840,0,0,0,0,0,4665600
2022-04-19,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,15360,83520,231360,408000,558720,665280,716160,731520,680640,589440,427200,216960,46080,0,0,0,0,0,5370240
2022-04-20,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,13440,77760,238080,423360,572160,673920,722880,733440,695040,597120,435840,231360,49920,0,0,0,0,0,5464320
2022-04-21,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,19200,91200,193920,382080,479040,505920,377280,651840,455040,524160,379200,200640,41280,0,0,0,0,0,4300800
2022-04-22,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,11520,69120,86400,206400,252480,240960,229440,120960,121920,132480,93120,41280,7680,0,0,0,0,0,1613760
2022-04-23,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,19200,112320,215040,323520,438720,480000,584640,551040,679680,504000,373440,151680,48960,960,0,0,0,0,4483200
2022-04-24,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,2880,30720,144960,345600,438720,640320,718080,723840,689280,584640,326400,91200,6720,0,0,0,0,0,4743360
2022-04-25,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,3840,57600,120000,155520,275520,391680,472320,339840,224640,130560,54720,16320,0,0,0,0,0,0,2242560
2022-04-26,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,15360,75840,223680,405120,570240,623040,646080,666240,624000,490560,230400,164160,71040,960,0,0,0,0,4806720
2022-04-27,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,20160,89280,240960,417600,567360,672960,723840,728640,687360,580800,425280,227520,55680,0,0,0,0,0,5437440
2022-04-28,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,22080,91200,226560,393600,536640,635520,676800,699840,624960,256320,159360,79680,11520,0,0,0,0,0,4414080
2022-04-29,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,1920,21120,53760,390720,588480,658560,550080,423360,274560,260160,197760,110400,44160,960,0,0,0,0,3576000
2022-04-30,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,16320,86400,172800,277440,450240,463680,720000,671040,630720,359040,266880,120960,33600,0,0,0,0,0,4269120
2022-05-01,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,19200,82560,254400,438720,590400,694080,736320,748800,708480,600000,421440,164160,21120,0,0,0,0,0,5479680
2022-05-02,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,21120,92160,254400,405120,570240,683520,740160,752640,712320,609600,454080,261120,70080,0,0,0,0,0,5626560
2022-05-03,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,18240,84480,256320,433920,579840,668160,710400,712320,679680,588480,440640,255360,66240,960,0,0,0,0,5496000
2022-05-04,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,21120,86400,241920,416640,554880,646080,691200,698880,665280,571200,424320,240000,64320,960,0,0,0,0,5323200
2022-05-05,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,16320,78720,251520,430080,574080,676800,720960,722880,685440,595200,453120,271680,78720,0,0,0,0,0,5555520
2022-05-06,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,27840,88320,244800,422400,568320,645120,702720,670080,686400,590400,458880,211200,55680,3840,0,0,0,0,5376000
2022-05-07,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,8640,33600,67200,136320,389760,681600,728640,738240,705600,577920,449280,190080,79680,960,0,0,0,0,4787520
2022-05-08,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,15360,62400,149760,203520,332160,319680,154560,109440,141120,163200,61440,80640,10560,0,0,0,0,0,1803840
2022-05-09,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,27840,87360,259200,438720,587520,650880,709440,732480,689280,585600,434880,270720,74880,960,0,0,0,0,5550720
2022-05-10,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,29760,78720,248640,447360,588480,692160,726720,723840,679680,580800,246720,143040,12480,0,0,0,0,0,5198400
2022-05-11,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,24960,106560,246720,423360,548160,632640,538560,673920,308160,430080,282240,130560,48960,960,0,0,0,0,4395840
2022-05-12,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,33600,110400,223680,408000,543360,648960,695040,706560,670080,576960,435840,254400,82560,1920,0,0,0,0,5392320
2022-05-13,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,23040,84480,235200,371520,549120,467520,218880,217920,323520,522240,417600,259200,72000,1920,0,0,0,0,3765120
2022-05-14,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,24000,92160,253440,392640,480000,545280,557760,480000,472320,552960,472320,280320,86400,960,0,0,0,0,4691520
2022-05-15,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,22080,83520,254400,433920,582720,675840,724800,737280,697920,604800,466560,287040,100800,4800,0,0,0,0,5677440
2022-05-16,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,22080,86400,249600,418560,558720,642240,688320,702720,663360,572160,431040,253440,74880,2880,0,0,0,0,5367360
2022-05-17,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,26880,92160,240000,404160,540480,626880,659520,666240,626880,534720,391680,227520,68160,960,0,0,0,0,5107200
2022-05-18,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,29760,96000,114240,97920,291840,547200,665280,672960,631680,535680,403200,226560,71040,2880,0,0,0,0,4387200
2022-05-19,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,1920,36480,106560,214080,323520,343680,316800,369600,436800,484800,464640,345600,204480,65280,2880,0,0,0,0,3717120
2022-05-20,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,30720,109440,243840,388800,525120,606720,645120,670080,646080,463680,221760,158400,76800,5760,0,0,0,0,4792320
2022-05-21,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,7680,97920,98880,198720,329280,576960,685440,697920,651840,568320,432960,255360,70080,2880,0,0,0,0,4674240
2022-05-22,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,2880,34560,100800,229440,390720,533760,633600,679680,672960,627840,538560,400320,232320,73920,3840,0,0,0,0,5155200
2022-05-23,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,26880,101760,229440,384000,514560,615360,650880,640320,613440,543360,392640,242880,76800,1920,0,0,0,0,5035200
2022-05-24,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,30720,91200,231360,399360,538560,626880,673920,676800,645120,567360,440640,271680,91200,2880,0,0,0,0,5288640
2022-05-25,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,2880,29760,96960,231360,384960,497280,568320,485760,418560,626880,380160,113280,33600,7680,0,0,0,0,0,3877440
2022-05-26,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,18240,83520,241920,428160,567360,659520,709440,713280,674880,590400,459840,286080,95040,3840,0,0,0,0,5532480
2022-05-27,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,1920,39360,85440,262080,418560,563520,650880,700800,710400,677760,589440,455040,284160,96000,3840,0,0,0,0,5539200
2022-05-28,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,2880,32640,102720,240960,407040,524160,623040,630720,645120,626880,552000,424320,260160,89280,4800,0,0,0,0,5166720
2022-05-29,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,22080,70080,121920,147840,401280,519360,502080,621120,517440,580800,441600,273600,95040,4800,0,0,0,0,4320000
2022-05-30,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,28800,59520,141120,129600,142080,254400,293760,239040,211200,152640,103680,29760,5760,2880,0,0,0,0,1794240
2022-05-31,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,21120,84480,240960,374400,452160,625920,675840,699840,625920,570240,437760,271680,97920,11520,0,0,0,0,5190720
2022-06-01,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,1920,17280,77760,241920,416640,520320,635520,691200,704640,675840,594240,461760,289920,99840,4800,0,0,0,0,5433600
2022-06-02,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,1920,42240,111360,251520,410880,469440,585600,679680,687360,655680,567360,431040,257280,91200,5760,0,0,0,0,5248320
2022-06-03,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,17280,84480,205440,377280,515520,600960,636480,643200,604800,534720,360960,232320,90240,3840,0,0,0,0,4907520
2022-06-04,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,41280,109440,193920,315840,386880,404160,576960,392640,425280,181440,193920,204480,57600,4800,0,0,0,0,3489600
2022-06-05,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,12480,61440,111360,181440,180480,194880,234240,190080,76800,72960,64320,41280,24000,4800,0,0,0,0,1450560
2022-06-06,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,1920,17280,32640,47040,369600,238080,561600,694080,656640,577920,358080,199680,72000,9600,0,0,0,0,3836160
2022-06-07,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,35520,59520,144960,152640,243840,104640,340800,372480,592320,439680,349440,278400,98880,7680,0,0,0,0,3221760
2022-06-08,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,36480,110400,222720,389760,527040,610560,632640,588480,629760,551040,419520,245760,91200,7680,0,0,0,0,5063040
2022-06-09,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,21120,50880,178560,330240,525120,434880,504000,529920,574080,480000,299520,200640,85440,2880,0,0,0,0,4217280
2022-06-10,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,26880,94080,229440,383040,484800,442560,458880,482880,317760,78720,75840,49920,14400,10560,0,0,0,0,3150720
2022-06-11,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,39360,80640,229440,385920,511680,600000,652800,664320,631680,549120,416640,255360,91200,7680,0,0,0,0,5116800
2022-06-12,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,23040,84480,214080,388800,530880,531840,517440,477120,558720,420480,215040,119040,47040,2880,0,0,0,0,4131840
2022-06-13,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,1920,35520,112320,228480,377280,465600,564480,617280,631680,583680,482880,369600,162240,64320,8640,0,0,0,0,4705920
2022-06-14,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,960,26880,72000,202560,351360,480960,653760,622080,413760,260160,78720,39360,14400,16320,0,0,0,0,0,3233280
2022-06-15,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,4800,42240,49920,79680,136320,214080,312960,283200,285120,202560,128640,96000,22080,1920,0,0,0,0,1859520
2022-06-16,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,4800,29760,184320,402240,547200,636480,691200,702720,669120,584640,451200,279360,104640,8640,0,0,0,0,5296320
