년월일,호기,설비용량(kW),총량(kWh),평균(kWh),0-1시 발전량(kWh),1-2시 발전량(kWh),2-3시 발전량(kWh),3-4시 발전량(kWh),4-5시 발전량(kWh),5-6시 발전량(kWh),6-7시 발전량(kWh),7-8시 발전량(kWh),8-9시 발전량(kWh),9-10시 발전량(kWh),10-11시 발전량(kWh),11-12시 발전량(kWh),12-13시 발전량(kWh),13-14시 발전량(kWh),14-15시 발전량(kWh),15-16시 발전량(kWh),16-17시 발전량(kWh),17-18시 발전량(kWh),18-19시 발전량(kWh),19-20시 발전량(kWh),20-21시 발전량(kWh),21-22시 발전량(kWh),22-23시 발전량(kWh),23-24시 발전량(kWh)
2024-03-11,(신재생) (하동) 익산 다송리 태양광,893 ,2419 ,101 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,50621 ,161264 ,310235 ,437511 ,462821 ,269738 ,159095 ,171388 ,146078 ,172835 ,70146 ,6508 ,0 ,0 ,0 ,0 ,0 
2024-03-12,(신재생) (하동) 익산 다송리 태양광,893 ,1933 ,81 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11571 ,78101 ,80994 ,232134 ,410031 ,173558 ,116428 ,390505 ,294325 ,113536 ,31096 ,723 ,0 ,0 ,0 ,0 ,0 
2024-03-13,(신재생) (하동) 익산 다송리 태양광,893 ,5283 ,220 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,60745 ,253105 ,463544 ,637102 ,705079 ,713757 ,723881 ,681215 ,552493 ,350732 ,130892 ,9401 ,0 ,0 ,0 ,0 ,0 
2024-03-14,(신재생) (하동) 익산 다송리 태양광,893 ,5270 ,220 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,58576 ,245151 ,451251 ,603837 ,702186 ,739067 ,723158 ,671814 ,545984 ,367364 ,148971 ,12294 ,0 ,0 ,0 ,0 ,0 
2024-03-15,(신재생) (하동) 익산 다송리 태양광,893 ,5289 ,220 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,37604 ,154756 ,461375 ,644334 ,740514 ,766547 ,736175 ,668921 ,544538 ,367364 ,152586 ,13740 ,0 ,0 ,0 ,0 ,0 
2024-03-16,(신재생) (하동) 익산 다송리 태양광,893 ,4437 ,185 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,62915 ,275523 ,447635 ,643611 ,739067 ,722435 ,621916 ,554662 ,211162 ,126553 ,26034 ,5062 ,0 ,0 ,0 ,0 ,0 
2024-03-17,(신재생) (하동) 익산 다송리 태양광,893 ,4264 ,178 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18802 ,152586 ,428833 ,450527 ,464991 ,633486 ,699294 ,601667 ,446188 ,252382 ,104858 ,10124 ,0 ,0 ,0 ,0 ,0 
2024-03-18,(신재생) (하동) 익산 다송리 태양광,893 ,5341 ,223 ,0 ,0 ,0 ,0 ,0 ,0 ,2169 ,80994 ,299387 ,502595 ,645057 ,729666 ,750638 ,723158 ,639272 ,517781 ,339884 ,98349 ,11571 ,0 ,0 ,0 ,0 ,0 
2024-03-19,(신재생) (하동) 익산 다송리 태양광,893 ,2631 ,110 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,20972 ,107751 ,368087 ,465714 ,150417 ,117152 ,269738 ,254552 ,463544 ,330483 ,75932 ,5785 ,0 ,0 ,0 ,0 ,0 
2024-03-20,(신재생) (하동) 익산 다송리 태양광,893 ,5205 ,217 ,0 ,0 ,0 ,0 ,0 ,0 ,2169 ,77378 ,302280 ,501872 ,671091 ,574911 ,581419 ,661689 ,701463 ,568402 ,385443 ,159818 ,16633 ,0 ,0 ,0 ,0 ,0 
2024-03-21,(신재생) (하동) 익산 다송리 태양광,893 ,5503 ,229 ,0 ,0 ,0 ,0 ,0 ,0 ,2893 ,91841 ,316020 ,514888 ,663136 ,712311 ,732559 ,741237 ,666028 ,540922 ,360133 ,147524 ,13740 ,0 ,0 ,0 ,0 ,0 
2024-03-22,(신재생) (하동) 익산 다송리 태양광,893 ,3345 ,139 ,0 ,0 ,0 ,0 ,0 ,0 ,4339 ,52067 ,273354 ,484516 ,648673 ,682661 ,578526 ,282032 ,262506 ,60022 ,11571 ,4339 ,0 ,0 ,0 ,0 ,0 ,0 
2024-03-23,(신재생) (하동) 익산 다송리 태양광,893 ,4924 ,205 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30373 ,125829 ,445465 ,621193 ,726774 ,758593 ,703633 ,622639 ,457036 ,316020 ,105581 ,10847 ,0 ,0 ,0 ,0 ,0 
