날짜,발전기코드,발전기명,충전_방전,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계
2019-02-16,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,24912,106848,388872,433440,425304,438768,217296,122400,43776,20088,0,0,0,0,0,0,2221704
2019-02-17,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,140616,396936,486720,660600,658656,715608,840096,658584,389664,118584,0,0,0,0,0,0,5066064
2019-02-18,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,42912,100512,159624,185832,217944,169632,57312,58032,55512,16704,0,0,0,0,0,0,1064016
2019-02-19,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,0,13464,39888,72072,115488,143424,306144,296352,81648,20088,0,0,0,0,0,0,1088568
2019-02-20,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,49392,133128,427248,535968,492984,277128,173232,431136,209088,65736,0,0,0,0,0,0,2795040
2019-02-21,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,9792,151056,356040,667512,819144,869256,823176,643896,388368,165168,61632,0,0,0,0,0,0,4955040
2019-02-22,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,8496,38952,136080,214920,225936,254232,355824,225288,165528,88992,49176,0,0,0,0,0,0,1763424
2019-02-23,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,11160,158328,402840,652248,754992,832392,785664,660600,524088,345240,115200,0,0,0,0,0,0,5242752
2019-02-24,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,13464,209736,475128,660456,782136,843696,836280,765648,617328,384624,106200,0,0,0,0,0,0,5694696
2019-02-25,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,12096,159048,278352,606528,721080,786960,784368,702072,542808,312336,104832,0,0,0,0,0,0,5010480
2019-02-26,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,15336,187488,394416,663048,814032,878904,862632,760176,599904,364608,116928,0,0,0,0,0,0,5657472
2019-02-27,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,53928,155880,209664,157176,182880,157392,77832,44064,26640,7344,0,0,0,0,0,0,1072800
2019-02-28,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,90576,353952,525528,687384,796032,619056,472896,374256,133992,53064,0,0,0,0,0,0,4106736
2019-03-01,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,15408,150408,411120,681480,787392,816192,790776,682848,492480,201672,75240,0,0,0,0,0,0,5105016
2019-03-02,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,46152,172800,160200,228240,185760,208872,251280,147816,83016,25848,0,0,0,0,0,0,1509984
2019-03-03,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,48528,88632,174600,266760,234288,169200,127224,151848,109800,32328,0,0,0,0,0,0,1403208
2019-03-04,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,73440,259776,435024,643320,709200,679896,602712,486360,282960,87192,8496,0,0,0,0,0,4268376
2019-03-05,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,9288,73656,223488,359424,327744,322848,227520,152568,130536,64800,13104,0,0,0,0,0,0,1904976
2019-03-06,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,32832,126864,424512,724752,839664,840168,759096,564768,279936,111888,10224,0,0,0,0,0,4714704
2019-03-07,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,28584,197280,455400,730800,869112,917640,909288,823104,656280,405864,145728,13608,0,0,0,0,0,6152688
2019-03-08,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,34272,291600,556560,751896,866664,913464,897912,814536,660384,434376,174600,13680,0,0,0,0,0,6409944
2019-03-09,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,32544,232920,435312,384408,462384,444312,255672,250920,139392,106776,30456,0,0,0,0,0,0,2775096
2019-03-10,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,7848,30672,81576,197640,249912,211752,198504,150408,82656,126072,14544,0,0,0,0,0,1351584
2019-03-11,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,33984,211176,352944,545472,612072,715392,380088,154584,134712,31536,0,0,0,0,0,0,0,3171960
2019-03-12,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,24192,91368,383472,653256,775296,818712,792000,690552,286056,124848,36000,0,0,0,0,0,0,4675752
2019-03-13,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,51912,256536,548352,735480,756792,766152,842688,768384,618336,396360,131328,10728,0,0,0,0,0,5883048
2019-03-14,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,34272,213984,412272,613224,772992,863280,846648,782856,630072,396792,153360,18360,0,0,0,0,0,5738112
2019-03-15,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,33984,181152,99360,178560,483912,819504,674496,309096,112104,243936,160056,22464,0,0,0,0,0,3318624
2019-03-16,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,50112,248472,468360,695664,799992,852048,838080,785232,627480,395208,154008,19152,0,0,0,0,0,5933808
2019-03-17,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,38520,222192,530712,729000,833256,866952,861408,793584,653400,426096,171504,21456,0,0,0,0,0,6148080
2019-03-18,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,53784,171144,302328,470376,284616,422208,393696,420768,328968,335736,138816,10224,0,0,0,0,0,3332664
2019-03-19,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,64296,258912,432288,631656,733752,780264,753840,662760,512712,312696,111960,16344,0,0,0,0,0,5271480
2019-03-20,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,41976,99792,173376,136944,106560,83160,34560,48600,44568,22680,0,0,0,0,0,0,0,792216
2019-03-21,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,33624,61560,84168,202896,368424,425664,270576,175824,126000,56808,0,0,0,0,0,0,1805544
2019-03-22,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,36144,157536,315864,663264,898200,941616,937584,856872,691776,446328,184752,27072,0,0,0,0,0,6157008
2019-03-23,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,72216,277344,555696,718560,806328,848304,684288,341424,154512,277776,144144,27288,0,0,0,0,0,4907880
2019-03-24,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,85896,293040,577224,745416,849672,904752,898056,831240,669960,424080,155016,24192,0,0,0,0,0,6458544
2019-03-25,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,50184,211176,271512,391968,594360,583848,585144,476928,542376,369072,86832,19296,0,0,0,0,0,4182696
2019-03-26,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,60840,231624,407664,647640,781416,837144,817344,739296,598680,376920,152280,24264,0,0,0,0,0,5675112
2019-03-27,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,69264,254304,422928,571608,655632,820800,794160,739584,574776,341352,93600,16848,0,0,0,0,0,5354856
2019-03-28,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,66240,208296,440496,651096,738648,759312,742104,594360,351432,197856,96696,14904,0,0,0,0,0,4861440
2019-03-29,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,74448,266040,466992,588456,794952,834480,803736,712008,552024,347976,117000,18864,0,0,0,0,0,5576976
2019-03-30,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,64584,282816,448632,671760,759384,613512,672984,482040,379584,351504,115632,30600,0,0,0,0,0,4873032
2019-03-31,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,85536,289656,562680,809784,735768,473760,760968,411336,472896,213192,149544,40032,0,0,0,0,0,5005152
2019-04-01,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,100008,296568,567360,738288,826776,867168,845496,754920,580824,352944,104544,27720,0,0,0,0,0,6062616
2019-04-02,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,105984,317448,593280,767016,869112,904320,881784,774216,636984,403848,168192,31248,0,0,0,0,0,6453432
2019-04-03,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,119160,355464,583920,756072,843120,864288,859896,798552,643248,420408,177192,31752,0,0,0,0,0,6453072
2019-04-04,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,83448,325152,566712,739296,815616,864576,857448,751536,529920,338256,150120,33264,0,0,0,0,0,6055344
2019-04-05,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,79992,182304,371376,628488,713592,736488,751536,675936,498888,302832,131616,29880,0,0,0,0,0,5102928
2019-04-06,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,105480,271296,499320,659880,733752,754848,731160,674640,512784,315864,124056,26208,0,0,0,0,0,5409288
2019-04-07,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,20880,59904,91872,160992,198864,164736,30600,12672,26280,56736,22248,0,0,0,0,0,0,845784
2019-04-08,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,117504,299232,554616,709344,787896,809136,785952,728496,556416,374256,133200,26712,0,0,0,0,0,5882760
