날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh),주소지
2023-03-30,장흥풍력,18.0,01시,0.0,3232.517,전남 장흥군 유치면 용문리 산4번지 외 91필지
2023-03-31,장흥풍력,18.0,01시,0.0,4347.624,전남 장흥군 유치면 용문리 산4번지 외 92필지
2023-04-01,장흥풍력,18.0,01시,1216.352,23732.595,전남 장흥군 유치면 용문리 산4번지 외 93필지
2023-04-02,장흥풍력,18.0,01시,645.057,11936.444,전남 장흥군 유치면 용문리 산4번지 외 94필지
2023-04-03,장흥풍력,18.0,01시,112.813,54377.138,전남 장흥군 유치면 용문리 산4번지 외 95필지
2023-04-04,장흥풍력,18.0,01시,3879.019,48979.483,전남 장흥군 유치면 용문리 산4번지 외 96필지
2023-04-05,장흥풍력,18.0,01시,0.0,8633.059,전남 장흥군 유치면 용문리 산4번지 외 97필지
2023-04-06,장흥풍력,18.0,01시,329.76,32455.328,전남 장흥군 유치면 용문리 산4번지 외 98필지
2023-04-07,장흥풍력,18.0,01시,5548.067,158592.864,전남 장흥군 유치면 용문리 산4번지 외 99필지
2023-04-08,장흥풍력,18.0,01시,9194.229,120721.085,전남 장흥군 유치면 용문리 산4번지 외 100필지
2023-04-09,장흥풍력,18.0,01시,5461.288,46173.633,전남 장흥군 유치면 용문리 산4번지 외 101필지
2023-04-10,장흥풍력,18.0,01시,487.408,34345.662,전남 장흥군 유치면 용문리 산4번지 외 102필지
2023-04-11,장흥풍력,18.0,01시,3692.444,52962.637,전남 장흥군 유치면 용문리 산4번지 외 103필지
2023-04-12,장흥풍력,18.0,01시,5733.196,171504.125,전남 장흥군 유치면 용문리 산4번지 외 104필지
2023-04-13,장흥풍력,18.0,01시,11233.535,44025.853,전남 장흥군 유치면 용문리 산4번지 외 105필지
2023-04-14,장흥풍력,18.0,01시,2156.457,63895.339,전남 장흥군 유치면 용문리 산4번지 외 106필지
2023-04-15,장흥풍력,18.0,01시,1870.086,64491.221,전남 장흥군 유치면 용문리 산4번지 외 107필지
2023-04-16,장흥풍력,18.0,01시,0.0,25598.342,전남 장흥군 유치면 용문리 산4번지 외 108필지
2023-04-17,장흥풍력,18.0,01시,741.96,34056.398,전남 장흥군 유치면 용문리 산4번지 외 109필지
2023-04-18,장흥풍력,18.0,01시,3134.166,34279.128,전남 장흥군 유치면 용문리 산4번지 외 110필지
2023-04-19,장흥풍력,18.0,01시,53.514,2758.124,전남 장흥군 유치면 용문리 산4번지 외 111필지
2023-04-20,장흥풍력,18.0,01시,831.632,35622.759,전남 장흥군 유치면 용문리 산4번지 외 112필지
2023-04-21,장흥풍력,18.0,01시,6473.709,53584.552,전남 장흥군 유치면 용문리 산4번지 외 113필지
2023-04-22,장흥풍력,18.0,01시,1.446,33608.043,전남 장흥군 유치면 용문리 산4번지 외 114필지
2023-04-23,장흥풍력,18.0,01시,1573.592,15643.35,전남 장흥군 유치면 용문리 산4번지 외 115필지
2023-04-24,장흥풍력,18.0,01시,383.274,31360.466,전남 장흥군 유치면 용문리 산4번지 외 116필지
2023-04-25,장흥풍력,18.0,01시,1978.56,22290.618,전남 장흥군 유치면 용문리 산4번지 외 117필지
2023-04-26,장흥풍력,18.0,01시,3115.364,95375.849,전남 장흥군 유치면 용문리 산4번지 외 118필지
2023-04-27,장흥풍력,18.0,01시,798.366,30336.471,전남 장흥군 유치면 용문리 산4번지 외 119필지
2023-04-28,장흥풍력,18.0,01시,1822.358,59821.069,전남 장흥군 유치면 용문리 산4번지 외 120필지
2023-04-29,장흥풍력,18.0,01시,2254.806,97639.335,전남 장흥군 유치면 용문리 산4번지 외 121필지
2023-04-30,장흥풍력,18.0,01시,9045.259,68964.676,전남 장흥군 유치면 용문리 산4번지 외 122필지
2023-05-01,장흥풍력,18.0,01시,2082.695,37008.329,전남 장흥군 유치면 용문리 산4번지 외 123필지
2023-05-02,장흥풍력,18.0,01시,0.0,46065.16,전남 장흥군 유치면 용문리 산4번지 외 124필지
2023-05-03,장흥풍력,18.0,01시,2761.017,47404.447,전남 장흥군 유치면 용문리 산4번지 외 125필지
2023-05-04,장흥풍력,18.0,01시,3640.377,108613.976,전남 장흥군 유치면 용문리 산4번지 외 126필지
