iter	Passed	Remaining
968	10349	331
969	10361	320
970	10377	309
971	10385	299
972	10398	288
973	10407	277
974	10416	267
975	10427	256
976	10440	245
977	10450	235
978	10459	224
979	10468	213
980	10477	202
981	10486	192
982	10495	181
983	10504	170
984	10514	160
985	10524	149
986	10535	138
987	10545	128
988	10557	117
989	10567	106
990	10578	96
991	10590	85
992	10599	74
993	10608	64
994	10618	53
995	10629	42
996	10641	32
997	10652	21
998	10665	10
999	10674	0
