������,ȣ��,1��,2��,3��,4��,5��,6��,7��,8��,9��,10��,11��,12��,13��,14��,15��,16��,17��,18��,19��,20��,21��,22��,23��,24��
2023-03-15,1,12303789,10942105,10674632,10771895,9483158,10626000,9094105,6978632,4474105,5738526,583579,389053,389053,2139789,4668632,2844947,1288737,413368,1945263,1896632,1386000,0,145895,1629158
2023-03-16,1,1215789,1264421,2577474,7246105,10650316,14492211,15100105,15270316,11695895,13008947,6613895,2480211,437684,413368,4425474,4401158,5689895,6419368,7586526,6638211,4474105,3987789,1677789,1215789
2023-03-17,1,510632,389053,243158,632211,729474,3112421,1604842,0,194526,486316,97263,121579,97263,97263,0,0,0,0,0,0,0,0,462000,5544000
2023-03-18,1,2091158,1045579,2018211,3355579,4303895,8486211,7854000,5252211,4328211,3720316,729474,340421,413368,413368,1604842,2261368,3428526,4547053,6054632,7075895,5641263,4717263,4352526,5689895
2023-03-19,1,3525789,2650421,3088105,5325158,5349474,7489263,8340316,7975579,5908737,3039474,291789,243158,462000,413368,267474,72947,170211,72947,1677789,72947,24316,364737,291789,389053
2023-03-20,1,170211,437684,316105,389053,218842,218842,0,0,0,0,24316,170211,48632,340421,413368,413368,145895,0,1629158,0,267474,1507579,267474,24316
2023-03-21,1,0,0,0,0,948316,145895,316105,0,0,97263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-22,1,0,0,0,0,0,0,0,0,0,0,0,3234000,4571368,3112421,3550105,2966526,3501474,2188421,3817579,3331263,4060737,1361684,24316,145895
2023-03-23,1,0,0,0,0,0,0,218842,778105,2674737,2844947,2966526,656526,705158,972632,1969579,2990842,6030316,8899579,8048526,5981684,6322105,5276526,7562211,7805368
2023-03-24,1,4644316,5179263,8826632,6686842,3404211,4498421,4303895,4012105,2893579,3112421,2504526,632211,389053,656526,437684,413368,705158,1021263,2553158,2674737,2164105,24316,0,0
2023-03-25,1,0,0,0,97263,802421,0,0,0,48632,145895,0,0,0,0,0,0,0,0,48632,0,0,0,0,72947
2023-03-26,1,437684,972632,1337368,2212737,3258316,6759789,5495368,4012105,3477158,5130632,5398105,583579,1215789,1969579,4109368,4522737,4838842,6638211,7489263,8267368,8948211,8121474,10650316,10577368
2023-03-27,1,7926947,8388947,5689895,5495368,6468000,8243053,8145789,6954316,6978632,8170105,5568316,559263,437684,437684,437684,1361684,5544000,9507474,10455789,8753684,10042421,9556105,7708105,7537895
2023-03-28,1,3501474,2480211,632211,170211,48632,2164105,2091158,1702105,996947,559263,899684,486316,121579,534947,680842,826737,364737,729474,2407263,2091158,72947,24316,0,0
2023-03-29,1,0,0,0,0,0,72947,0,0,0,0,48632,340421,316105,170211,267474,48632,0,0,48632,0,0,0,0,0
2023-03-30,1,0,0,0,218842,170211,72947,72947,24316,145895,0,0,0,24316,24316,0,0,48632,0,0,0,0,0,170211,291789
2023-03-31,1,486316,121579,0,0,24316,486316,0,0,145895,1264421,2042526,583579,413368,413368,437684,413368,389053,121579,1823684,1920947,948316,0,0,0
2023-04-01,1,0,0,0,0,72947,0,121579,0,0,0,0,0,0,72947,243158,267474,97263,24316,218842,0,0,0,267474,2626105
2023-04-02,1,680842,389053,486316,316105,0,1702105,1167158,145895,802421,510632,1410316,559263,437684,437684,437684,559263,4303895,8170105,9240000,6905684,2528842,413368,802421,3258316
2023-04-03,1,413368,291789,145895,2115474,3015158,2772000,3112421,1045579,72947,97263,145895,145895,243158,364737,1580526,3841895,4085053,6370737,4036421,4790211,5422421,4984737,4206632,3696000
2023-04-04,1,3234000,5957368,7732421,8121474,9288632,12741474,12668526,14686737,16072737,13616842,10382842,10139684,9337263,6565263,8316000,6686842,7464947,8948211,10869158,10771895,10626000,9215684,9045474,7610842
2023-04-05,1,875368,1264421,3209684,2139789,4911789,7027263,4863158,7464947,7659474,7610842,7951263,4060737,267474,24316,0,145895,170211,802421,2626105,364737,583579,534947,851053,996947
2023-04-06,1,437684,437684,340421,462000,899684,1872316,462000,316105,0,0,0,194526,145895,413368,243158,145895,437684,1410316,4814526,1993895,1799368,3355579,3817579,3331263
2023-04-07,1,875368,1288737,4717263,5933053,7829684,10431474,8948211,9118421,9483158,11550000,9434526,3234000,2601789,2261368,6638211,4838842,3890526,5106316,10139684,14346316,12741474,13689789,15999789,15197368
2023-04-08,1,13033263,12936000,12328105,14273368,12303789,14200421,10285579,5933053,2626105,1726421,1215789,0,0,0,2601789,4692947,4620000,5276526,4887474,3550105,2747684,2334316,1337368,1726421
2023-04-09,1,607895,437684,97263,0,170211,948316,364737,170211,24316,0,0,72947,291789,0,0,0,97263,24316,170211,0,0,291789,1337368,2966526
2023-04-10,1,3331263,3890526,3258316,4668632,3623053,4887474,5252211,4425474,2796316,3866211,1726421,534947,1313053,656526,3574421,4449789,3136737,3331263,6176211,11720211,14224737,12012000,12644211,13446632
2023-04-11,1,11793158,12157895,11452737,10820526,10334211,13252105,15197368,15002842,12133579,9142737,9580421,6443684,2990842,7902632,7926947,5009053,3550105,3914842,4425474,3282632,1726421,0,0,0
2023-04-12,1,1823684,4522737,10504421,11039368,13179158,15027158,14735368,15708000,13957263,10115368,753789,389053,413368,2334316,5276526,3112421,4717263,2674737,3477158,4863158,4474105,2772000,4911789,389053
2023-04-13,1,1580526,1969579,3696000,267474,1653474,6249158,3890526,4012105,1069895,0,24316,24316,0,0,0,48632,364737,316105,656526,2674737,4474105,2480211,3379895,5276526
2023-04-14,1,5738526,3550105,4279579,6078947,5203579,8656421,10650316,5811474,5373789,2018211,1702105,802421,1167158,12863053,11477053,7537895,12012000,15999789,17653263,15683684,4838842,0,0,0
2023-04-15,1,0,0,0,243158,4498421,6954316,5908737,6662526,7100211,5519684,4984737,6638211,2212737,2504526,9215684,4547053,2942211,3890526,3404211,3161053,2310000,1313053,729474,194526
2023-04-16,1,97263,24316,364737,972632,3306947,4911789,2917895,1653474,3161053,12741474,5860105,413368,437684,413368,996947,899684,3793263,5446737,5665579,5519684,5179263,4352526,2747684,3185368
2023-04-17,1,656526,437684,218842,24316,48632,1191474,218842,1167158,3598737,3112421,3501474,0,0,413368,437684,6224842,9167053,13689789,18480000,19525579,18966316,15756632,14638105,14127474
2023-04-18,1,12887368,12206526,11647263,13981579,14005895,16291579,16218632,15416211,14249053,13884316,13641158,10601684,7537895,7294737,4206632,3793263,3841895,5933053,7075895,6930000,6978632,6881368,5544000,3574421
2023-04-19,1,3112421,2504526,2066842,1969579,1118526,3696000,3623053,2407263,291789,607895,389053,121579,24316,72947,0,0,145895,1604842,4060737,4401158,4522737,3015158,2066842,1848000
2023-04-20,1,2310000,437684,413368,316105,0,1653474,1580526,0,534947,1677789,1118526,72947,97263,72947,121579,0,0,170211,24316,0,559263,1434632,3039474,4158000
2023-04-21,1,1240105,1726421,1118526,4352526,7562211,7173158,9750632,10869158,9556105,8850947,10893474,2601789,413368,413368,170211,1410316,3793263,7124526,4863158,2237053,2285684,899684,0,24316
2023-04-22,1,48632,340421,0,97263,0,316105,0,0,0,0,0,316105,194526,0,72947,97263,1580526,0,4425474,11379789,12644211,12109263,11890421,9191368
2023-04-23,1,3355579,753789,851053,121579,48632,1945263,3379895,5203579,6443684,7586526,6224842,2212737,121579,218842,1945263,291789,510632,2601789,2699053,6176211,5738526,6978632,3720316,48632
2023-04-24,1,0,0,0,389053,3744632,5544000,4936105,8194421,6954316,7878316,6784105,4182316,291789,0,0,462000,729474,1775053,3647368,1969579,778105,0,0,0
2023-04-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97263,413368,413368,340421,413368,3963474,2358632,1337368,1945263,2091158,3550105
2023-04-26,1,2455895,3379895,2480211,4085053,2626105,3355579,3841895,2504526,389053,486316,1848000,559263,437684,437684,413368,1434632,4522737,5957368,8632105,7659474,8486211,7075895,4425474,4547053
2023-04-27,1,1799368,510632,243158,72947,0,1677789,1507579,48632,0,0,48632,121579,24316,72947,0,0,0,583579,2042526,4376842,5349474,8097158,7610842,9920842
2023-04-28,1,7829684,6930000,5568316,9702000,8364632,8632105,9774947,8632105,9215684,7416316,8802316,6759789,4668632,4960421,9702000,7999895,8072842,11550000,12546947,11160947,9604737,8024211,9361579,9920842
2023-04-29,1,5641263,5349474,1386000,1337368,1361684,3525789,2942211,2626105,1604842,583579,875368,48632,97263,437684,1629158,2285684,3817579,7562211,12595579,15537789,13398000,12571263,13252105,15805263
2023-04-30,1,13008947,12279474,11063684,10747579,7416316,6808421,6322105,4376842,1142842,851053,607895,48632,170211,413368,413368,389053,437684,656526,778105,0,0,0,0,0
2023-05-01,1,0,0,0,0,0,0,0,0,0,0,364737,437684,413368,462000,462000,462000,462000,72947,1629158,1848000,583579,0,24316,121579
2023-05-02,1,656526,2285684,1775053,2796316,2066842,3428526,6224842,4765895,1653474,1702105,340421,291789,291789,413368,3623053,4158000,6492316,7124526,5446737,6054632,9653368,13592526,17215579,14711053
2023-05-03,1,10650316,12376737,15002842,13227789,12765789,13689789,11404105,10577368,8437579,7951263,7732421,7051579,6054632,7537895,7562211,10358526,12838737,16097053,17847789,18042316,13568211,15246000,6492316,8948211
2023-05-04,1,12984632,14273368,14030211,12741474,10528737,16802211,18188211,18577263,16850842,11063684,8364632,4887474,2942211,607895,1264421,4668632,12084947,12765789,15027158,14370632,14565158,11039368,5106316,5908737
2023-05-05,1,3282632,4036421,5057684,8024211,8145789,6200526,7926947,10236947,10480105,7756737,8972526,5471053,4328211,5373789,7197474,5884421,5544000,6832737,8510526,9993789,9945158,8194421,9240000,6759789
2023-05-06,1,4133684,1434632,486316,534947,170211,1726421,1823684,1313053,48632,0,24316,24316,267474,316105,389053,48632,0,0,97263,243158,924000,1337368,0,0
