������,ȣ��,1��,2��,3��,4��,5��,6��,7��,8��,9��,10��,11��,12��,13��,14��,15��,16��,17��,18��,19��,20��,21��,22��,23��,24��
2023-11-05,1,7197474,5787158,5057684,8826632,10528737,14297684,13884316,12692842,8340316,8632105,9337263,8705053,9385895,9774947,10407158,11866105,11306842,12522632,14856947,17118316,16267263,11866105,9410211,12376737
2023-11-06,1,8705053,8850947,6395053,6103263,5398105,4279579,5981684,7975579,5762842,8364632,6686842,5689895,4838842,4692947,5762842,6759789,9604737,11282526,13033263,13227789,12790105,9702000,11015053,11598632
2023-11-07,1,8170105,5665579,8486211,10236947,10820526,12790105,12376737,10382842,9872211,8340316,7999895,6346421,4644316,5106316,6151895,5252211,3112421,2431579,3841895,4765895,4036421,2966526,3914842,3209684
2023-11-08,1,2601789,1240105,1167158,2091158,2212737,4474105,4401158,2285684,218842,437684,48632,0,267474,340421,316105,170211,24316,0,413368,2237053,2237053,2577474,1677789,1361684
2023-11-09,1,826737,729474,1507579,3452842,2504526,5033368,5933053,4814526,2796316,2358632,1604842,1531895,1531895,1313053,924000,413368,559263,3914842,7173158,6249158,4717263,2966526,340421,0
2023-11-10,1,145895,0,0,6224842,12401053,16704947,14103158,16145684,16777895,16267263,14905579,11768842,5884421,7610842,1288737,8510526,13106211,15367579,16097053,16729263,16413158,14735368,15075789,13981579
2023-11-11,1,12960316,12887368,12887368,12571263,12668526,10066737,13446632,13568211,11039368,8559158,10091053,607895,3598737,8778000,10674632,10334211,11185263,15197368,17142632,16242947,16632000,13252105,12571263,14565158
2023-11-12,1,14759684,14613789,14394947,16315895,15391895,17264211,16534737,12984632,7902632,7708105,4960421,3744632,5616947,7926947,11404105,11306842,12328105,13932947,14249053,13860000,14394947,9702000,6662526,8194421
2023-11-13,1,7999895,5227895,7562211,11209579,12936000,15197368,16121368,15489158,14224737,12206526,9799263,10042421,10212632,10358526,11817474,6978632,6200526,7270421,7051579,7051579,6151895,4255263,3647368,3525789
2023-11-14,1,875368,607895,510632,1118526,1702105,4109368,4085053,3452842,1458947,2334316,2237053,729474,462000,534947,1264421,1434632,1677789,2139789,3671684,3866211,2626105,1191474,1288737,680842
2023-11-15,1,316105,462000,437684,656526,2139789,4230947,3063789,3015158,1775053,1507579,1094211,437684,218842,97263,194526,121579,0,267474,1531895,875368,389053,145895,0,0
2023-11-16,1,0,0,0,0,0,243158,2869263,5811474,9920842,6078947,1434632,1896632,5252211,5787158,11355474,6735474,8607789,9361579,8461895,10771895,13641158,10601684,7319053,8072842
2023-11-17,1,7343368,9483158,7440632,13422316,14516526,11088000,12376737,12230842,9580421,7440632,9483158,6565263,7343368,9167053,5033368,11088000,13422316,14005895,15537789,14443579,13616842,11379789,14516526,13495263
2023-11-18,1,5300842,8340316,8267368,7708105,0,1604842,4133684,10698947,13543895,15124421,15902526,11136632,9750632,9069789,11185263,9434526,10091053,8291684,10261263,11379789,9045474,6492316,4303895,2893579
2023-11-19,1,972632,1507579,1702105,3258316,2115474,3550105,2966526,1750737,218842,316105,1094211,534947,486316,729474,583579,1483263,2261368,2261368,3428526,4668632,3744632,3063789,3525789,3939158
2023-11-20,1,1629158,1167158,1945263,3817579,2990842,4547053,5106316,7148842,4911789,3914842,3744632,1653474,1361684,2042526,4182316,2699053,2115474,1483263,2066842,1848000,1361684,0,0,243158
2023-11-21,1,462000,437684,462000,389053,194526,705158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48632,802421,1094211
2023-11-22,1,510632,437684,437684,437684,632211,1629158,1848000,899684,243158,316105,243158,340421,267474,145895,194526,389053,413368,680842,1191474,1483263,3477158,4352526,4230947,5616947
2023-11-23,1,996947,1775053,1240105,1386000,1021263,2066842,1848000,1361684,48632,24316,97263,243158,389053,364737,437684,462000,2626105,10771895,15002842,10990737,15805263,16024105,18674526,16461789
2023-11-24,1,14856947,14492211,14613789,16048421,15878211,15902526,17142632,15756632,14249053,14492211,14224737,10771895,12036316,11233895,11939053,11477053,12522632,14978526,14711053,14078842,12352421,10042421,9264316,8996842
2023-11-25,1,9920842,10212632,8559158,9969474,9750632,8875263,12352421,11501368,6905684,4692947,3963474,4303895,2966526,2917895,3258316,2091158,1945263,1702105,3355579,2796316,1920947,291789,72947,0
2023-11-26,1,0,0,0,0,364737,413368,316105,972632,1288737,1069895,170211,0,24316,72947,24316,0,0,0,0,413368,583579,1191474,1410316,1094211
2023-11-27,1,534947,437684,364737,0,24316,1580526,340421,656526,899684,1240105,2188421,1191474,851053,1361684,4644316,5300842,6006000,6735474,6249158,5446737,4449789,3404211,2844947,2018211
2023-11-28,1,1069895,3015158,3063789,2626105,3306947,4474105,5981684,6686842,2601789,2747684,3088105,2796316,6273474,8024211,10553053,6759789,5300842,4133684,3598737,3112421,1386000,0,0,0
2023-11-29,1,24316,170211,316105,218842,583579,413368,121579,97263,243158,486316,632211,194526,413368,413368,437684,389053,121579,1726421,4498421,6127579,8170105,11768842,12376737,11939053
2023-11-30,1,12328105,13106211,14419263,15416211,14978526,17288526,18358421,16097053,14638105,14346316,10577368,5325158,5422421,2869263,6662526,7270421,10042421,9069789,8194421,6492316,5665579,2650421,3841895,3598737
2023-12-01,1,2237053,778105,729474,3696000,3258316,8559158,7999895,10893474,12012000,11622947,9872211,8072842,8753684,10990737,11160947,11695895,9021158,8340316,14103158,12960316,8364632,5738526,5835789,5616947
2023-12-02,1,1702105,1920947,1142842,924000,632211,2407263,1969579,1386000,656526,0,486316,48632,0,0,0,0,0,0,364737,972632,1191474,1361684,1920947,2018211
2023-12-03,1,753789,462000,462000,875368,2747684,3793263,4547053,3890526,1750737,2504526,2480211,948316,534947,462000,1337368,3015158,2042526,1313053,2796316,3039474,2480211,1264421,1580526,1726421
2023-12-04,1,534947,462000,462000,462000,1458947,3209684,3234000,1191474,1118526,559263,72947,437684,462000,389053,24316,316105,121579,48632,1313053,0,0,0,194526,1313053
2023-12-05,1,389053,1288737,462000,121579,1507579,4547053,4401158,4668632,2820632,1313053,2334316,729474,437684,413368,437684,462000,364737,656526,2480211,2066842,218842,218842,0,0
2023-12-06,1,0,0,0,0,0,0,0,0,97263,826737,2577474,2018211,1872316,1483263,3890526,4863158,3793263,6443684,9240000,14054526,15027158,13106211,12863053,13179158
2023-12-07,1,10626000,12206526,12765789,14273368,13811368,14759684,13543895,8923895,4230947,1823684,534947,145895,145895,170211,121579,48632,0,218842,72947,462000,778105,1531895,3209684,4838842
2023-12-08,1,4230947,5203579,5689895,6735474,7586526,9945158,9094105,10553053,9483158,9288632,11088000,7221789,3282632,389053,7489263,8899579,6808421,7124526,9264316,10164000,10261263,9410211,9750632,8145789
2023-12-09,1,5592632,3063789,1604842,3890526,3890526,4863158,3185368,2310000,1045579,875368,1167158,680842,607895,462000,437684,1313053,1142842,948316,3574421,4741579,4133684,2164105,2917895,3768947
2023-12-10,1,1094211,948316,1702105,4206632,3817579,5860105,6540947,6103263,4692947,4814526,4109368,1069895,462000,1240105,1799368,2942211,2018211,6468000,4936105,6419368,3866211,2674737,6176211,3914842
2023-12-11,1,559263,510632,24316,0,559263,3647368,13932947,15805263,15805263,15829579,16559053,15124421,15051474,5957368,3939158,5592632,4182316,5446737,3987789,7051579,9774947,13787053,12936000,12546947
2023-12-12,1,11720211,11404105,12887368,17823474,17069684,15829579,15343263,12352421,10796211,12449684,9094105,8340316,6638211,6978632,7416316,5325158,3939158,4401158,4182316,4182316,3720316,1945263,2577474,2723368
2023-12-13,1,851053,1021263,1313053,3987789,2334316,3647368,3550105,1458947,0,0,24316,364737,851053,607895,559263,3209684,6006000,5811474,5082000,10285579,19671474,14200421,4547053,2650421
2023-12-14,1,0,2601789,4279579,2042526,4085053,8048526,5568316,7610842,12619895,13738421,17118316,13860000,4328211,2407263,7294737,11160947,12717158,1653474,3039474,3574421,3720316,5592632,6200526,7148842
2023-12-15,1,5009053,2893579,2553158,5325158,6516632,8996842,8632105,9823579,11452737,10407158,6589579,1920947,851053,3598737,11112316,14613789,10042421,11185263,14103158,17118316,16340211,15829579,13422316,12741474
2023-12-16,1,10942105,10869158,12303789,14905579,16024105,16899474,17069684,17045368,15124421,14638105,15002842,13495263,14005895,12814421,15853895,14929895,13568211,14322000,16291579,15343263,14443579,13908632,13130526,9094105
2023-12-17,1,5276526,12012000,11136632,12352421,12279474,14516526,15610737,15221684,12887368,9726316,9945158,7683789,8121474,6589579,5787158,5373789,4741579,5082000,8923895,8559158,7659474,5908737,4765895,3744632
2023-12-18,1,1945263,1069895,3866211,2990842,1507579,4887474,5422421,2942211,1167158,340421,1386000,437684,413368,267474,510632,462000,413368,924000,3817579,9847895,9458842,9167053,8121474,4814526
2023-12-19,1,2820632,1653474,899684,1702105,1045579,1677789,5738526,3696000,2772000,3987789,3866211,3987789,5884421,6735474,9337263,9167053,9847895,8559158,10018105,11914737,9167053,6297789,5835789,9142737
2023-12-20,1,8729368,7732421,10650316,12619895,12060632,14176105,15367579,13835684,13932947,14224737,14467895,12863053,12157895,12012000,14200421,16242947,15367579,16121368,17434421,16388842,15683684,14054526,10917789,10601684
2023-12-21,1,9920842,7002947,3744632,10747579,12230842,14127474,7537895,5738526,2942211,2237053,2626105,705158,656526,2723368,8048526,9920842,7294737,12498316,12765789,13616842,11939053,10771895,7221789,9969474
2023-12-22,1,7854000,8145789,10139684,3501474,12911684,15318947,15221684,14322000,9215684,10698947,10747579,9410211,4060737,3623053,5933053,8388947,10334211,11063684,11209579,10188316,6322105,4474105,3501474,2893579
2023-12-23,1,1191474,1215789,705158,3282632,3550105,4376842,6346421,6346421,4911789,4012105,2310000,632211,705158,462000,413368,413368,97263,0,1775053,1848000,705158,0,0,0
2023-12-24,1,0,0,97263,486316,1313053,1993895,1240105,948316,1094211,1677789,2577474,778105,632211,1240105,2091158,4303895,4984737,4790211,6565263,5349474,4522737,3015158,2990842,2869263
2023-12-25,1,899684,1823684,1507579,3234000,2382947,7270421,7781053,6832737,6492316,5957368,6346421,3696000,4352526,3817579,5227895,3744632,3355579,3258316,2942211,2480211,1653474,486316,267474,194526
2023-12-26,1,145895,24316,0,0,0,0,632211,48632,291789,170211,291789,364737,243158,121579,145895,145895,24316,24316,97263,0,0,48632,48632,72947
2023-12-27,1,340421,437684,316105,729474,1215789,1799368,291789,0,0,0,121579,24316,0,0,121579,267474,340421,778105,413368,778105,996947,534947,340421,48632
2023-12-28,1,0,0,0,0,0,0,72947,316105,316105,0,0,0,145895,437684,437684,486316,2237053,2990842,7148842,7294737,4960421,3136737,5009053,6127579
2023-12-29,1,4911789,3404211,4060737,4790211,5252211,5446737,8632105,8097158,7197474,6176211,5981684,3161053,1215789,1434632,3112421,3258316,2188421,1045579,3574421,3209684,2261368,680842,462000,607895
2023-12-30,1,243158,170211,24316,24316,0,48632,1337368,7416316,6468000,680842,2261368,534947,462000,462000,389053,437684,559263,1264421,2382947,3550105,2334316,1458947,1142842,2407263
2023-12-31,1,1458947,3331263,4984737,8461895,8705053,14565158,15270316,17726211,15197368,15537789,14662421,13227789,13325053,12960316,15780947,14565158,14297684,14249053,16437474,15562105,11185263,8437579,9531789,11793158
2024-01-01,1,5009053,1386000,924000,1920947,2188421,6613895,4620000,3428526,705158,48632,72947,48632,194526,437684,462000,437684,437684,1361684,2747684,3939158,2212737,1045579,1653474,972632
2024-01-02,1,486316,437684,462000,462000,1264421,3306947,2699053,1580526,121579,24316,0,24316,0,170211,24316,145895,364737,607895,705158,680842,924000,243158,48632,389053
2024-01-03,1,413368,364737,437684,462000,972632,4644316,4279579,6370737,6905684,7537895,10407158,9094105,6735474,8875263,12790105,11963368,14078842,12619895,15075789,15002842,15124421,13811368,13884316,11841789
2024-01-04,1,8923895,6176211,4547053,4936105,4887474,4522737,5203579,3258316,462000,72947,0,0,24316,48632,121579,170211,24316,0,48632,0,24316,0,413368,510632
2024-01-05,1,486316,462000,534947,1410316,1823684,2723368,3161053,1823684,97263,510632,413368,389053,437684,413368,364737,194526,121579,24316,1531895,48632,0,72947,145895,0
2024-01-06,1,48632,243158,851053,2261368,4206632,6346421,8072842,7489263,6395053,8170105,8461895,5325158,4182316,4449789,5568316,5325158,4620000,4911789,7537895,8996842,8340316,6881368,5033368,4644316
2024-01-07,1,2796316,4158000,6954316,12255158,12036316,13787053,14151789,15464842,12863053,10869158,10577368,9604737,10212632,10601684,16048421,15124421,16656316,14784000,14905579,14394947,11501368,9604737,7805368,6006000
2024-01-08,1,3598737,1872316,1021263,2942211,2480211,4060737,4206632,2528842,1507579,1920947,1823684,534947,389053,413368,170211,24316,24316,0,413368,0,0,0,0,0
2024-01-09,1,0,0,24316,24316,48632,0,0,170211,680842,607895,705158,510632,437684,462000,170211,243158,389053,437684,2066842,1167158,1434632,778105,1142842,1507579
2024-01-10,1,607895,437684,1702105,1775053,9118421,8753684,11258211,9483158,12328105,14589474,13787053,12401053,10747579,11258211,12619895,12571263,12522632,12157895,11817474,12838737,11258211,8559158,5714211,4352526
2024-01-11,1,972632,1337368,778105,3744632,4255263,6297789,7951263,6006000,3452842,2212737,2018211,1167158,632211,486316,413368,340421,1118526,851053,2164105,2139789,1556211,48632,24316,218842
2024-01-12,1,145895,267474,291789,437684,1337368,1920947,1677789,1945263,1629158,267474,413368,267474,437684,462000,437684,462000,437684,1775053,3306947,3234000,2893579,3671684,2917895,3647368
2024-01-13,1,1920947,2869263,5130632,7148842,7416316,8364632,7878316,6857053,5884421,4911789,4911789,4255263,3306947,3185368,4620000,5349474,4255263,924000,2334316,2164105,2042526,826737,1264421,2966526
2024-01-14,1,3696000,6808421,8559158,7464947,5446737,6540947,6735474,7732421,5422421,4133684,5616947,3647368,3112421,2382947,3525789,2674737,2796316,2261368,3574421,4498421,4887474,6492316,9847895,13714105
2024-01-15,1,13057579,12303789,14200421,15708000,15829579,17312842,17361474,17264211,15635053,14832632,15610737,12401053,11452737,12595579,14224737,13860000,14176105,11550000,14297684,12522632,10480105,10674632,10577368,12498316
2024-01-16,1,9458842,10601684,9531789,11015053,9750632,11477053,12692842,7854000,5811474,4085053,2164105,559263,218842,72947,48632,0,0,72947,851053,875368,1142842,0,0,462000
2024-01-17,1,680842,2553158,2869263,4692947,5227895,6249158,8194421,5884421,3331263,2358632,4814526,3282632,2139789,3477158,5641263,6565263,8534842,9726316,8753684,9215684,9580421,6808421,6273474,6006000
2024-01-18,1,3768947,2820632,1920947,2358632,996947,1872316,1848000,1337368,559263,753789,1142842,729474,583579,753789,680842,3161053,3063789,2601789,3890526,4376842,3234000,1313053,1531895,924000
2024-01-19,1,437684,0,0,0,145895,291789,753789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24316,3623053,7270421
2024-01-21,1,6613895,4401158,6978632,8923895,9774947,12741474,8850947,6808421,5057684,3574421,3477158,1045579,1288737,1629158,5349474,8850947,9483158,8194421,10431474,11647263,10455789,13495263,12960316,14297684
2024-01-22,1,12182211,10820526,11622947,15002842,14127474,14322000,17069684,15464842,13860000,12449684,14856947,10285579,12084947,11744526,12644211,12741474,13495263,14954211,15902526,13689789,17215579,13373684,13057579,13811368
2024-01-23,1,11744526,11671579,13081895,15100105,13519579,16704947,16875158,16242947,15075789,14103158,14954211,13592526,12036316,12328105,14759684,13592526,14492211,14638105,16413158,12230842,12012000,13008947,14273368,6443684
2024-01-24,1,13325053,12595579,12060632,14078842,14589474,15708000,12863053,15926842,15805263,15294632,15221684,13252105,14249053,12984632,14297684,14273368,16364526,14322000,16972421,16413158,16948105,15221684,15732316,15878211
2024-01-25,1,12449684,11404105,11404105,14346316,12717158,12060632,11282526,13738421,11720211,10771895,8996842,7392000,5082000,5519684,5908737,6662526,6492316,8364632,12084947,12619895,13179158,12619895,11331158,9434526
2024-01-26,1,5592632,6857053,5471053,5471053,5276526,8388947,8121474,8583474,5811474,3477158,3477158,3088105,2139789,2601789,5616947,6419368,4692947,3696000,5957368,6176211,4960421,4036421,5884421,5300842
2024-01-27,1,3234000,3768947,1580526,1823684,2723368,4182316,5154947,3841895,1531895,996947,1021263,826737,826737,413368,607895,2382947,1434632,2990842,5592632,4863158,4085053,2310000,2334316,2504526
2024-01-28,1,1142842,4352526,3550105,6030316,8656421,9629053,12352421,13154842,11209579,12255158,9556105,7221789,583579,437684,437684,7562211,8486211,5227895,6468000,9361579,9288632,4158000,3404211,2407263
2024-01-29,1,705158,437684,437684,413368,1604842,3866211,4085053,2772000,2091158,1726421,1021263,486316,170211,72947,145895,218842,389053,899684,1653474,851053,510632,291789,364737,510632
2024-01-30,1,364737,340421,218842,24316,24316,267474,72947,583579,1313053,121579,413368,437684,97263,97263,24316,0,0,0,291789,0,0,145895,97263,8316000
2024-01-31,1,9920842,11112316,3282632,534947,534947,1775053,1848000,1386000,0,0,0,0,0,0,0,72947,267474,729474,1069895,1167158,632211,48632,0,0
2024-02-01,1,0,0,121579,583579,3890526,5957368,4571368,6589579,5106316,10382842,11914737,9653368,6735474,4863158,5519684,8534842,7781053,7416316,8850947,8729368,8510526,7659474,7319053,4158000
2024-02-02,1,1094211,2772000,3768947,5471053,5544000,7635158,9507474,10869158,10066737,7367684,5787158,1750737,1629158,705158,924000,2431579,4644316,4522737,5908737,2577474,2066842,97263,0,0
2024-02-03,1,0,0,0,0,243158,0,0,0,0,0,0,0,0,0,48632,0,0,0,0,0,0,0,0,0
2024-02-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48632,24316,0,0,48632,24316,24316,0,24316,0
2024-02-05,1,0,9556105,1434632,8486211,3768947,4620000,3720316,2553158,924000,899684,4401158,7562211,7586526,7975579,9531789,9458842,7805368,7416316,11550000,11063684,7513579,5714211,5787158,5884421
2024-02-06,1,3039474,3501474,3185368,3866211,3501474,6322105,5787158,4620000,3209684,2844947,4255263,3355579,3477158,2699053,4376842,6054632,7294737,9264316,10796211,10164000,8559158,7537895,6784105,6322105
2024-02-07,1,5957368,8267368,7586526,10334211,14881263,15659368,15829579,12765789,8194421,8024211,6759789,8145789,9434526,8705053,10285579,9774947,9312947,8948211,9337263,9993789,8656421,7197474,7002947,7586526
2024-02-08,1,3185368,2066842,948316,2164105,2601789,8024211,10309895,9458842,5203579,7294737,8024211,5300842,2310000,2091158,4741579,4230947,5616947,6078947,8145789,6176211,6419368,3866211,2358632,2577474
2024-02-09,1,1434632,1507579,1604842,3404211,7756737,11258211,10966421,8097158,7124526,7464947,9264316,4085053,3793263,5057684,6638211,7221789,7173158,7124526,7951263,9823579,8121474,5544000,5349474,5738526
2024-02-10,1,4182316,2261368,2942211,3623053,2382947,4060737,3939158,2115474,802421,413368,0,121579,97263,243158,389053,1848000,437684,2382947,5179263,4425474,6395053,5325158,5203579,2577474
2024-02-11,1,632211,486316,462000,583579,1556211,3817579,6006000,4303895,1823684,4279579,6030316,5203579,4401158,5811474,9215684,10869158,11866105,11987684,14224737,15391895,15951158,11379789,7075895,7392000
2024-02-12,1,7732421,5787158,3039474,4376842,3550105,3696000,2796316,2066842,0,0,0,0,0,121579,170211,24316,97263,778105,1507579,1823684,2601789,4279579,4717263,7659474
2024-02-13,1,7732421,6881368,6832737,10212632,9677684,10504421,11063684,9337263,9653368,8486211,9920842,7537895,5276526,1556211,6176211,6686842,7416316,7075895,9702000,10650316,10066737,8632105,8510526,9069789
2024-02-14,1,7270421,7197474,8510526,10018105,8461895,11112316,7854000,6516632,6030316,4911789,5009053,6516632,1945263,2310000,5884421,8170105,5300842,4449789,8437579,12328105,11209579,10018105,2577474,2091158
2024-02-15,1,413368,316105,340421,437684,48632,1313053,0,0,48632,48632,1872316,6565263,12936000,15489158,17507368,17215579,17288526,16583368,18163895,19282421,18139579,17507368,17166947,15440526
2024-02-16,1,12012000,9604737,6468000,7124526,9191368,9969474,10309895,5544000,2188421,97263,97263,48632,389053,534947,899684,486316,1094211,462000,1945263,1872316,1361684,0,0,0
2024-02-17,1,0,0,0,0,0,1118526,2237053,1920947,2091158,1118526,826737,632211,437684,559263,486316,1313053,4352526,5252211,5616947,6857053,14030211,14929895,13227789,15075789
2024-02-18,1,13762737,8291684,9774947,11963368,12522632,12425368,14589474,14540842,14030211,14346316,14516526,12765789,12109263,11841789,13957263,13130526,13349368,13057579,13835684,12449684,9312947,6273474,9702000,10139684
2024-02-19,1,8437579,8437579,6905684,10334211,10504421,8850947,8291684,6954316,3647368,753789,607895,364737,364737,170211,413368,72947,340421,5957368,11136632,13373684,12546947,6565263,2261368,4571368
2024-02-20,1,6200526,8267368,4036421,4328211,3112421,5592632,3550105,3185368,1337368,972632,0,97263,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-21,1,0,0,0,0,0,2115474,2820632,5082000,6565263,6589579,875368,3063789,1264421,97263,145895,0,0,0,1580526,705158,0,802421,875368,0
2024-02-22,1,0,0,0,0,1556211,3914842,6443684,4036421,243158,0,194526,0,243158,389053,656526,316105,218842,753789,2261368,1726421,413368,170211,170211,1240105
2024-02-23,1,753789,875368,924000,3039474,3744632,5860105,8996842,9264316,9653368,9847895,8899579,5179263,3331263,2261368,3209684,1896632,340421,0,1604842,1848000,1531895,145895,0,0
2024-02-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-25,1,0,0,291789,1993895,8948211,13981579,11817474,11720211,9847895,11452737,10455789,8218737,5860105,7659474,12401053,12498316,11233895,9677684,11817474,11939053,10844842,8583474,9288632,5276526
2024-02-26,1,2796316,2188421,3136737,3841895,4376842,9507474,11015053,9483158,6808421,7075895,8875263,4498421,3209684,4547053,6151895,8048526,6978632,5471053,4158000,2699053,1458947,121579,778105,218842
2024-02-27,1,413368,1167158,462000,437684,24316,1580526,1702105,0,0,0,24316,145895,0,97263,0,24316,48632,0,121579,0,0,0,0,0
2024-02-28,1,0,0,0,0,0,0,0,0,0,0,0,0,1872316,1677789,24316,170211,0,24316,1604842,1142842,0,0,72947,0
2024-02-29,1,194526,72947,0,0,0,121579,0,1045579,5568316,10431474,11622947,9945158,9507474,14176105,16680632,14808316,12498316,10601684,11015053,10188316,10893474,12279474,15440526,18115263
2024-03-01,1,15732316,16145684,15999789,18334105,17896421,19258105,20109158,18796105,16948105,17288526,17726211,16097053,14492211,13179158,15756632,14030211,17264211,16242947,18236842,19258105,19379684,16680632,15562105,15100105
2024-03-02,1,13373684,13081895,12522632,12765789,11647263,11039368,8729368,7221789,2528842,4425474,3477158,996947,413368,267474,194526,267474,316105,486316,1726421,778105,170211,316105,0,607895
2024-03-03,1,413368,340421,316105,437684,924000,1142842,462000,218842,316105,24316,534947,486316,170211,437684,316105,437684,437684,1045579,2115474,1531895,0,0,0,0
2024-03-04,1,0,0,0,0,0,0,0,0,194526,924000,4911789,4984737,7027263,5957368,6735474,4158000,4328211,1507579,1993895,4911789,1337368,24316,97263,24316
2024-03-05,1,0,0,0,121579,0,48632,0,0,0,0,0,0,0,0,0,0,0,0,24316,48632,121579,97263,0,510632
2024-03-06,1,6808421,4279579,8291684,8072842,6395053,6808421,8923895,4376842,2310000,2188421,1653474,559263,1386000,2382947,2091158,3063789,2626105,2601789,4182316,4158000,3015158,1556211,2844947,3671684
2024-03-07,1,1288737,948316,1872316,4522737,5738526,9847895,10844842,8461895,5252211,3647368,3525789,1629158,996947,6395053,1386000,6249158,8291684,11501368,14686737,16486105,15562105,14322000,13179158,12522632
2024-03-08,1,12036316,12376737,10504421,11695895,10261263,10066737,10723263,9337263,8656421,8729368,9531789,8778000,3598737,389053,2188421,5300842,11720211,14638105,16704947,16704947,14856947,14103158,14078842,14540842
2024-03-09,1,12814421,12182211,10504421,11306842,10212632,12303789,13543895,10407158,8316000,9191368,8072842,2844947,680842,0,340421,2747684,5908737,7610842,5860105,6662526,6905684,6297789,5544000,7173158
2024-03-10,1,5227895,3550105,5373789,7854000,8267368,10358526,5835789,5009053,5592632,2066842,996947,510632,462000,437684,462000,437684,364737,48632,1580526,1677789,0,0,0,0
2024-03-11,1,316105,1726421,3015158,2018211,4352526,10334211,15148737,15027158,10455789,7027263,6176211,5373789,3258316,1580526,1750737,48632,194526,48632,2261368,3039474,1386000,0,0,534947
2024-03-12,1,583579,1386000,1920947,3331263,3088105,5106316,5130632,3574421,1920947,1726421,2553158,1361684,2844947,5762842,9264316,9142737,9823579,13106211,14613789,17750526,17337158,16145684,18528632,16218632
2024-03-13,1,14322000,10164000,11550000,17191263,12449684,7464947,8437579,5933053,2504526,1726421,1118526,583579,72947,24316,534947,462000,437684,1264421,2844947,4036421,1896632,924000,316105,1094211
2024-03-14,1,632211,462000,437684,462000,1337368,2115474,2066842,486316,48632,0,0,0,0,24316,0,0,0,0,0,0,0,0,48632,462000
2024-03-15,1,437684,462000,437684,145895,48632,1580526,170211,583579,899684,0,0,0,48632,364737,24316,24316,0,0,121579,0,0,24316,0,0
2024-03-16,1,0,0,0,0,0,0,0,24316,170211,24316,753789,510632,437684,437684,583579,1702105,3112421,4255263,8291684,8753684,6565263,6638211,10382842,11841789
2024-03-17,1,8291684,3088105,170211,389053,0,1580526,2820632,3963474,9969474,12279474,12182211,12984632,14297684,6881368,2091158,12936000,13908632,17118316,19185158,19355368,18236842,16899474,16656316,14589474
2024-03-18,1,13981579,13154842,14054526,15246000,14370632,17264211,17191263,13130526,6540947,632211,170211,24316,48632,291789,413368,24316,48632,486316,389053,0,0,0,0,0
2024-03-19,1,0,24316,194526,364737,996947,1045579,1993895,924000,316105,97263,364737,2334316,2188421,486316,5665579,6200526,6905684,8534842,13470947,16097053,16583368,13154842,12863053,14492211
2024-03-20,1,11501368,12255158,13641158,13592526,11355474,15124421,15732316,16559053,15124421,13568211,13908632,12182211,10042421,8437579,12644211,11695895,11088000,13373684,16072737,17069684,13033263,10285579,9361579,8875263
2024-03-21,1,4644316,4449789,4936105,7975579,7173158,6151895,6249158,5957368,4085053,2504526,1993895,851053,510632,437684,437684,437684,802421,705158,1531895,1872316,1337368,559263,4474105,6638211
2024-03-22,1,6905684,7319053,9118421,13008947,14638105,17166947,14467895,14711053,11890421,10431474,1799368,632211,437684,413368,11136632,12595579,12960316,15732316,14929895,15708000,17118316,15221684,14711053,13008947
2024-03-23,1,8121474,4449789,3720316,5738526,4376842,4936105,2237053,1386000,0,0,0,0,0,24316,24316,0,0,0,218842,389053,0,0,0,0
2024-03-24,1,72947,607895,72947,0,0,802421,0,0,0,24316,0,3331263,1191474,340421,24316,0,0,0,1580526,1653474,0,0,24316,0
2024-03-25,1,0,0,0,0,0,0,0,0,0,0,0,6419368,4498421,218842,145895,0,753789,170211,1556211,1920947,267474,0,0,24316
2024-03-26,1,437684,11793158,7173158,8996842,3914842,1750737,14249053,18480000,10382842,10990737,14346316,11866105,12376737,12133579,13495263,5762842,5884421,14054526,6176211,4498421,4036421,2407263,2796316,778105
2024-03-27,1,24316,0,0,194526,48632,0,0,0,0,0,1167158,486316,996947,1604842,1823684,1410316,1386000,3987789,3623053,2990842,3744632,6273474,14394947,14492211
2024-03-28,1,12157895,2966526,7124526,8583474,9240000,12303789,14224737,16145684,15829579,13008947,15100105,13154842,11720211,8486211,4158000,486316,1264421,3161053,7075895,8656421,12255158,9799263,9069789,7829684
2024-03-29,1,2990842,632211,462000,267474,0,1580526,2966526,3112421,3914842,7343368,4644316,607895,437684,413368,413368,2139789,2650421,680842,2261368,2553158,1410316,0,0,0
2024-03-30,1,0,0,0,0,364737,4498421,13957263,15197368,13592526,13398000,1920947,607895,437684,437684,413368,1410316,1386000,1507579,2699053,2407263,1750737,0,0,0
2024-03-31,1,243158,1313053,2455895,413368,72947,1556211,1872316,632211,0,0,0,0,0,121579,0,0,24316,948316,340421,316105,0,680842,583579,656526
