"발전구분","호기","일자","1시 발전량(MWh)","2시 발전량(MWh)","3시 발전량(MWh)","4시 발전량(MWh)","5시 발전량(MWh)","6시 발전량(MWh)","7시 발전량(MWh)","8시 발전량(MWh)","9시 발전량(MWh)","10시 발전량(MWh)","11시 발전량(MWh)","12시 발전량(MWh)","13시 발전량(MWh)","14시 발전량(MWh)","15시 발전량(MWh)","16시 발전량(MWh)","17시 발전량(MWh)","18시 발전량(MWh)","19시 발전량(MWh)","20시 발전량(MWh)","21시 발전량(MWh)","22시 발전량(MWh)","23시 발전량(MWh)","24시 발전량(MWh)","총량(KW)","평균(KW)","최대(시간별)","최소(시간별)","최대","최소"
"영흥풍력","1"," 2025-05-22 00:00:00","0","0","0","0","0","0","0","0","0","41.751","0","0","0","0","0","0","0","0","0","0","0","0","0","468.1","509.851","21","468.1","41.751","468.1","0"
"영흥풍력","2"," 2025-05-22 00:00:00","464.64","426.24","48","0","0","451.2","241.92","405.12","122.88","1361.28","1726.08","432","80.64","1.92","44.16","193.92","249.6","71.04","30.72","13.44","182.4","24.96","21.12","1418.88","8012.16","334","1726.08","1.92","1726.08","0"
"군위 화산풍력","1"," 2025-05-22 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","19.284","0","19.284","0","0","0","173.558","337.474","520.674","761.726","347.116","163.916","2343.032","98","761.72","19.284","761.726","0"
"어음풍력","1"," 2025-05-22 00:00:00","7577.248","7279.944","6569.08","5555.872","4818.184","3940.776","3303.776","907.984","1884.232","3150.616","2663.248","986.16","1262.296","63.84","30.856","0","0","326.368","210.504","0","0","0","0","0","50530.984","2105","7577.24","30.856","7577.248","0"
"삼천포풍력","1"," 2025-05-21 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0.072","15.84","0","0","0","15.12","0","0.576","9.936","0","0","0","0","41.544","2","15.84","0.072","15.84","0"
"영흥풍력","1"," 2025-05-21 00:00:00","0","0","0","0","0","0","0","0","0","732.641","0","0","0","0","0","0","0","0","419.241","293.14","191.099","290.884","73.086","0","2000.091","83","732.64","73.086","732.641","0"
"영흥풍력","2"," 2025-05-21 00:00:00","1025.28","359.04","0","330.24","769.92","24.96","0","0","0","2991.36","2225.28","195.84","182.4","289.92","97.92","560.64","2400","2889.6","4984.32","5543.04","4018.56","3655.68","2363.52","1313.28","36220.8","1509","5543.04","24.96","5543.04","0"
"군위 화산풍력","1"," 2025-05-21 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.284","38.568","67.495","202.484","414.611","67.495","0","0","0","809.937","34","414.61","19.284","414.611","0"
"어음풍력","1"," 2025-05-21 00:00:00","18725.168","14536.256","1075.592","5152.84","2644.88","596.904","0","0","0","0","0","34.72","1467.816","578.312","967.624","200.536","10.248","0","437.304","317.184","1243.76","3462.032","5133.688","8221.304","64806.168","2700","18725.16","10.248","18725.168","0"
"삼천포풍력","1"," 2025-05-20 00:00:00","21.6","3.528","35.064","3.96","0.576","4.248","0","1.368","6.696","25.416","25.056","24.408","23.76","45.504","51.336","56.016","29.88","6.048","23.76","45.648","4.176","0","0","0","438.048","18","56.01","0.576","56.016","0"
