설비용량(MW),연식(년),기온(°C),풍속(m/s)_cubed,습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),풍향_sin,풍향_cos,시간_sin,시간_cos,월_sin,월_cos,블레이드,air_density,absolute_humidity,계절_encoded,실제,예측,오차,절대오차,발전구분
3.0,17.14168378,7.2,250.04699999999997,82.0,8.3,4.3,1010.4,0.939692621,0.342020143,-0.5,0.866025404,0.0,1.0,45.0,1.251643081,6.501568266,1,1867.2,933.0741725855041,934.1258274144959,934.1258274144959,한경풍력
3.0,10.04243669,3.9,1092.7270000000003,78.0,6.3,0.4,1017.1,-0.342020143,0.939692621,0.707106781,-0.707106781,-0.5,0.866025404,45.0,1.275939634,4.990319261,1,2646.0,1711.9277923268965,934.0722076731035,934.0722076731035,한경풍력
3.0,11.56194387,13.5,2000.3759999999997,55.0,8.5,4.6,1013.5,-0.64278761,0.766044443,0.258819045,0.965925826,-0.866025404,0.5,56.0,1.227819482,6.632360057,0,83.36857143,1017.4374821747188,-934.0689107447188,934.0689107447188,상명풍력
3.0,9.80971937,20.6,274.625,90.0,21.7,18.8,996.2,0.766044443,0.64278761,-0.5,0.866025404,-0.866025404,-0.5,45.0,1.17165353,16.19174429,0,2328.8,1394.738949763705,934.0610502362952,934.0610502362952,한경풍력
2.0,12.44626968,13.6,12.166999999999998,66.0,10.2,7.3,1004.8,0.342020143,-0.939692621,-0.866025404,-0.5,0.866025404,0.5,40.0,1.216009971,7.93268893,2,1962.0,1028.0148550124723,933.9851449875277,933.9851449875277,성산풍력
3.0,14.73785079,27.7,592.7040000000001,95.0,35.2,26.8,995.2,0.342020143,-0.939692621,-0.5,-0.866025404,-0.5,-0.866025404,45.0,1.136949779,25.49246005,3,290.2,1224.1313250106468,-933.9313250106468,933.9313250106468,한경풍력
2.0,19.92881588,18.4,125.0,98.0,20.6,18.0,1004.2,0.766044443,0.64278761,-0.965925826,0.258819045,-0.866025404,-0.5,40.0,1.190550537,15.42263475,0,219.0,1152.8008982609608,-933.8008982609608,933.8008982609608,성산풍력
2.0,11.08829569,18.3,10.648000000000003,45.0,9.4,6.1,1013.6,-0.766044443,-0.64278761,0.707106781,-0.707106781,0.866025404,-0.5,40.0,1.207286692,7.331786728,2,1300.0,366.25405835476704,933.745941645233,933.745941645233,성산풍력
2.0,17.52498289,17.7,9.261000000000001,98.0,19.7,17.3,1006.1,-0.939692621,-0.342020143,0.5,0.866025404,1.0,6.12e-17,40.0,1.196095862,14.79384991,2,1873.833333,940.5951197161048,933.2382132838952,933.2382132838952,성산풍력
2.0,18.2642026,9.4,1.0,72.0,8.4,4.5,1019.2,-0.342020143,-0.939692621,0.707106781,-0.707106781,0.0,1.0,40.0,1.252672104,6.620929418,1,1943.166667,1010.0723282027757,933.0943387972243,933.0943387972243,성산풍력
2.0,12.19986311,22.9,0.5120000000000001,79.0,22.0,19.0,1001.8,-0.766044443,-0.64278761,0.965925826,0.258819045,0.5,-0.866025404,40.0,1.16904023,16.34437722,3,1085.5,152.50396489892591,932.9960351010741,932.9960351010741,성산풍력
