iter	Passed	Remaining
579	421281	305066
580	422336	304576
581	423472	304143
582	424600	303702
583	425845	303341
584	427417	303211
585	428662	302843
586	430078	302593
587	431386	302263
588	432636	301890
589	434342	301831
590	435588	301448
591	436190	300617
592	436657	299696
593	437124	298775
594	437504	297797
595	438015	296909
596	438542	296034
597	439116	295192
598	439771	294404
599	440444	293629
600	441121	292857
601	441771	292068
602	442472	291312
603	443227	290592
604	443929	289838
605	444609	289069
606	445183	288232
607	445891	287482
608	446497	286667
609	447111	285858
610	447765	285074
611	448462	284319
612	449185	283580
613	449826	282790
614	450431	281977
615	451111	281212
616	451834	280474
617	452465	279679
618	453192	278943
619	453834	278156
620	454556	277418
621	455195	276630
622	456041	275967
623	456790	275245
624	457414	274448
625	458062	273666
626	458689	272872
627	459378	272116
628	460060	271355
629	460755	270602
630	461419	269831
631	462104	269073
632	462835	268342
633	463554	267603
634	464304	266883
635	464974	266117
636	465695	265380
637	466458	264667
638	467101	263886
639	467699	263081
640	468410	262339
641	469070	261568
642	469778	260825
643	470499	260089
644	471072	259272
645	471715	258494
646	472379	257727
647	473011	256944
648	473611	256144
649	474281	255382
650	474978	254635
651	475673	253886
652	476457	253186
653	477128	252425
654	477775	251652
655	478450	250894
656	479081	250114
657	479739	249347
658	480479	248624
659	481116	247847
660	481761	247075
661	482424	246313
662	483130	245573
663	483702	244765
664	484411	244027
665	485113	243285
666	485876	242573
667	486703	241894
668	487509	241204
669	488245	240479
670	488971	239749
671	489668	239004
672	490422	238288
673	491106	237538
674	491847	236815
675	492550	236074
676	493399	235403
677	493982	234605
678	494559	233804
679	495178	233025
680	495784	232239
681	496455	231485
682	497145	230739
683	497861	230006
684	498506	229240
685	499159	228478
686	499770	227697
687	500502	226972
688	501179	226221
689	501748	225423
690	502450	224684
691	503103	223924
692	503806	223187
693	504473	222433
694	505084	221655
695	505693	220877
696	506379	220133
697	507055	219385
698	507680	218615
699	508331	217856
700	509016	217112
701	509722	216377
702	510406	215633
703	511000	214852
704	511607	214077
705	512299	213337
706	512990	212597
707	513703	211866
708	514562	211195
709	515284	210468
710	516010	209742
711	516685	208996
712	517281	208218
713	517957	207473
714	518653	206736
715	519455	206041
716	520109	205287
717	520744	204526
718	521406	203776
719	522059	203023
720	522758	202287
721	523428	201541
722	524135	200809
723	524920	200107
724	525584	199359
725	526340	198646
726	526947	197877
727	527661	197148
728	528348	196409
729	529047	195675
730	529639	194901
731	530194	194114
732	530795	193345
733	531396	192576
734	531984	191803
735	532668	191065
736	533319	190316
737	533937	189554
738	534538	188788
739	535116	188013
740	535661	187228
741	536301	186476
742	536893	185708
743	537561	184967
744	538173	184207
745	538774	183443
746	539390	182685
747	540038	181937
748	540639	181175
749	541368	180456
750	542128	179746
751	542757	178994
752	543418	178252
753	544055	177503
754	544724	176765
755	545283	175991
756	545931	175246
757	546593	174506
758	547325	173788
759	547987	173048
760	548629	172302
761	549259	171553
762	549916	170812
763	550591	170077
764	551225	169330
765	551910	168599
766	552523	167845
767	553143	167095
768	553829	166364
769	554524	165637
770	555179	164897
771	555796	164147
772	556503	163423
773	557175	162689
774	557903	161971
775	558596	161244
776	559343	160532
777	560087	159819
778	560710	159071
779	561385	158339
780	561972	157582
781	562631	156846
782	563274	156105
783	563934	155369
784	564399	154580
785	565003	153830
786	565579	153072
787	566235	152337
788	566889	151601
789	567431	150836
790	568038	150088
791	568671	149348
792	569244	148592
793	569896	147857
794	570546	147121
795	571229	146395
796	571856	145654
797	572459	144908
798	573085	144168
799	573694	143423
800	574298	142678
801	574893	141931
802	575457	141176
803	576054	140431
804	576685	139694
805	577335	138961
806	578001	138233
807	578595	137488
808	579029	136705
809	579690	135976
810	580328	135243
811	580938	134503
812	581630	133782
813	582348	133067
814	583089	132357
815	583759	131632
816	584400	130900
817	584919	130140
818	585501	129396
819	586087	128653
820	586905	127961
821	587533	127227
822	588099	126480
